文件标题,信息时间,土地位置,用途,土地面积(m),总计容建筑面积(m2),最大建筑密度,绿地率,出让价款起始价(万元),投标竞买保证金(万元),编号,产业类别,可建面积(m2)或容积率,投资强度(万元/公顷),产出要求(万元/公顷),备注,获取出让文件时间,获取出让文件地点,报名时间,报名地点,保证金截止时间,确认竞买资格时间,联系地址,联系电话,联系人,爬取时间,爬取地址url,唯一标识
北碚区蔡家组团双碑B分区B02-2/06、B03-2/06地块(公告序号：20040)公开出让公告,2020/4/22,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200422/6ef037b8-fa8d-4baa-85a2-f3ccb0fbc6e1.html,cec9f7628158679799da54b1d2daef07
巴南区木洞组团C分区C32-1/03地块(公告序号：G20018)公开出让公告,2020/4/10,|巴南区木洞组团C分区,|二类工业用地,,,,,,,,|医药制造业（卫生材料及医药用品制造）,,,,1、土地面积以实测为准。2、该宗地以网上交易方式出让。3、环保要求详见《重庆市巴南区生态环境局关于木洞组团C分区C32-1/03宗地公示出让环保要求的复函》。,2020年4月10日12：00至2020年4月30日12：00,http://onlineca.jinrunsoft.com/UserOrder/Default/Index,2020年4月10日12：00至2020年4月30日12：00,,2020年4月30日12：00,2020年4月30日12：00,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,王先生,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200416/8a483071-4c05-419e-a14f-d1fc07ae2f41.html,d5706edd95e8573347e83044103079bf
江北区观音桥组团A分区A26-4/03地块(公告序号：20039)公开出让公告,2020/4/22,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200422/e3cf3f5e-8a99-4dbd-ac38-0c6bc1798ccd.html,337052c14c68830e044ae6b94769c5fe
渝北区人和组团B、N分区B01-3地块(公告序号：G20019)公开出让公告,2020/4/10,|渝北区人和组团B、N分区,|二类工业用地,,,,,,,,|食品制造业 ,,,,1、土地面积以实测为准。2、该宗地以网上交易方式出让。3、环保要求详见《重庆市渝北区生态环境局关于城市中央厨房+智慧便利店项目征求环保意见的复函》（渝北环函〔2019〕268号）。,2020年4月10日12：00至2020年4月30日12：00,http://onlineca.jinrunsoft.com/UserOrder/Default/Index,2020年4月10日12：00至2020年4月30日12：00,,2020年4月30日12：00,2020年4月30日12：00,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,王先生,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200416/f2ae2212-8cd2-4b55-902f-a081a3df5b88.html,602cbb7f46f65da10f1359f73b062516
九龙坡区中梁山组团G分区G14-5-1/06、G16-2/07、G16-1/07地块(公告序号：20033)公开出让公告,2020/4/10,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200416/b388068f-cfb8-4941-b5b7-d5466aa09265.html,54d00a18a653ee4bdeb839dec159d976
巴南区圣灯山片区组团B分区B04-1/03地块(公告序号：20034)公开出让公告,2020/4/10,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200421/6c5558ee-a8d8-4633-9596-bce9821d5f03.html,be0b7ed025d46134f0ae0cb06be5bc52
重庆市江津区规划和自然资源局滨江新城A8-02-6/02号地块国有建设用地使用权公开出让的公告,2020/4/10,,|商业用地,,,,,,|800,,,,,,,,,,,,,江津区鼎山街道元帅大道36号|江津区几江街道水木年华步行街津华大厦二楼,023-47696237| 023-47217310,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200413/316b5b45-00f9-4dc0-91e8-69591f20ce42.html,d46c77b84fac5463e3a0c982d85799e9
重庆市武隆区公共资源综合交易中心国有建设用地使用权公开出让预公告,2020/4/10,,|商服用地（加油站用地）,,|1468.5,,|≥30%,,,,,,,,,,http://ggzyjy.cqwl.gov.cn,,,,,,,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/20200424/9f7a8b7a-3a57-4410-9931-23e6bc666e49.html,050195c38994a6572d94cd2eae8bd9e3
2019-RC-2-03号国有建设用地使用权公开出让公告,2020/4/13,,,,,,≥30﹪,,,,,,,,,,,,,,,,,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200413/f8c6715a-13e2-46c3-894e-f05ede702333.html,11bf9569c469343694aec5935f3a94f0
年产6万吨绿色大米项目出让公告,2020/4/15,|                                    忠县忠州街道                                                       ,|工业用地,|3906平方米,,,,,,|                                    zx2020-1-1-5                                   ,,,|                                    /                                   ,,, 2020年4月15日 至 2020年5月8日 ,, 2020 年5月8日 至 2020年5月8日 ,,,,忠县规划和自然资源局,2354235389,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200415/d0fafb30-c3ea-4db1-b1ea-3f1d3ff953e4.html,2e3683f1de7d707756e4721bf2c59f2d
大渡口区大渡口组团H分区H12-10、H12-6-1、H12-6-2、H14-2-1、H12-8地块(公告序号：20036)公开出让公告,2020/4/15,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200416/bb2f930f-dddd-4b12-bbaf-f358c9ea9498.html,c70a837a8669f5e208c68b54ec7ae578
重庆市潼南区规划和自然资源局国有土地使用权公开公告出让公告,2020/4/16,|                  江北新城B-90号地块                          出让年限                  50年                  容积率                  大于1并且小于或等于1.5                 ,,,,,,,,,,,,,|                  场地平整：按现状; 基础设施：红线外通水电气道路。宗地出让起始价100万元/亩，规划用途为二类居住用地（R2)，建设用地面积126920.54㎡，计容建筑面积不大于190380.81㎡；须在地块西南角配建用地面积不小于3600㎡、建筑面积不小于3600㎡的12班标准幼儿园一所，幼儿园面积不计入地块容积率，幼儿园须与开发项目第一期同步建设，建成验收合格后由竞得人无偿将幼儿园产权及相关资料移交给潼南区教育行政主管部门；须在地块内临东湾大道侧配建一个建筑面积不小于50㎡的对外临街公厕；同时，竞得人须在指定区域建设特色花卉生态文旅项目，投资额不低于1亿元。竞得人须自成交次日起10个工作日内，持签订的《国有建设用地使用权成交确认书》向出让人申请签订土地出让合同。土地出让价款分2期支付：第一期，自成交次日起30日内付清土地出让价款的50%（含保证金）；第二期，剩余50%土地出让价款在2020年11月30日前付清（不计分期付款利息）。竞得人逾期未申请签订土地出让合同或缴清价款的，成交确认书自动失效，出让人有权终止供地，并没收竞得人缴纳的保证金。宗地由重庆市潼南区新城建设管理委员会负责在2020年6月30日之前向竞得人移交土地。            , 2020年04月16日 至 2020年05月07日,重庆恒升拍卖有限公司, 2020年04月16日 至 2020年05月07日,,2020年05月07日16时30分,2020年05月07日16时30分,重庆市潼南区公共资源交易中心,,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200417/cdbc1cae-af59-4b8b-8f70-9a9c0c7bb4a2.html,77fb5c016392e530aa664384fe79b8cd
重庆市潼南区规划和自然资源局江北新城B-90号地块国有土地使用权公开公告出让公告,2020/4/16,|                  江北新城B-90号地块                          出让年限                  50年                  容积率                  大于1并且小于或等于1.5                 ,,,,,,,,,,,,,|                  场地平整：按现状; 基础设施：红线外通水电气道路。宗地出让起始价100万元/亩，规划用途为二类居住用地（R2)，建设用地面积126920.54㎡，计容建筑面积不大于190380.81㎡；须在地块西南角配建用地面积不小于3600㎡、建筑面积不小于3600㎡的12班标准幼儿园一所，幼儿园面积不计入地块容积率，幼儿园须与开发项目第一期同步建设，建成验收合格后由竞得人无偿将幼儿园产权及相关资料移交给潼南区教育行政主管部门；须在地块内临东湾大道侧配建一个建筑面积不小于50㎡的对外临街公厕；同时，竞得人须在指定区域建设特色花卉生态文旅项目，投资额不低于1亿元。竞得人须自成交次日起10个工作日内，持签订的《国有建设用地使用权成交确认书》向出让人申请签订土地出让合同。土地出让价款分2期支付：第一期，自成交次日起30日内付清土地出让价款的50%（含保证金）；第二期，剩余50%土地出让价款在2020年11月30日前付清（不计分期付款利息）。竞得人逾期未申请签订土地出让合同或缴清价款的，成交确认书自动失效，出让人有权终止供地，并没收竞得人缴纳的保证金。宗地由重庆市潼南区新城建设管理委员会负责在2020年6月30日之前向竞得人移交土地。            , 2020年04月16日 至 2020年05月07日,重庆恒升拍卖有限公司, 2020年04月16日 至 2020年05月07日,,2020年05月07日16时30分,2020年05月07日16时30分,重庆市潼南区公共资源交易中心,,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200417/417d16c9-21b1-44d6-ac87-44e48066d0e4.html,ea268fa91354aeba196d9887bd7b0429
永川区凤凰湖工业园区L-11-10-2/02国有建设用地使用权出让公告,2020/4/17,,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200424/daf5e314-18af-4c93-ac36-ecaf022d7f9c.html,95f75183effa28f06c1564833d444dcb
