文件标题,信息时间,正文标题,公告序号,宗地编号/编号,地块位置,土地用途/用途,土地面积(平方米)/土地面积(m2)/出让面积(m),容积率,建筑密度(%),绿地率(%),保证金(万元),底价(万元),计容建筑面积(m2),出让方式,出让年限,成交价(万元)/成交价,受让单位,土地使用条件,交易时间,成交人,备注,联系单位,联系地址,联系电话,公示期,爬取时间,爬取地址url,唯一标识
奉节县西部新区FJ-14-128号宗地国有建设用地使用权公开出让招拍挂出让成交公示,2020/4/21,奉节县西部新区FJ-14-128号宗地国有建设用地使用权公开出让招拍挂出让成交公示,,FJ-14-128,西部新区清水社区魏家社区,居住用地（城镇住宅用地）,137759平方米,≤1.8,,,,,,挂牌,,,重庆海成实业（集团）有限公司,,2020/4/21,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200423/0969af9c-d251-44d6-815d-2fd253c08261.html,4ee9e93bd04435fb06d0f37b79f8b28c
渝北区古路镇组团A分区A11-4/02、A12-1/02地块（G20010）,2020/3/30,渝北区古路镇组团A分区A11-4/02、A12-1/02地块（G20010）,G20010,,渝北区古路镇组团A分区A11-4/02、A12-1/02地块,一类工业用地,95282,0.7≤容积率≤1.5,,,,,,挂牌,,5336,重庆市渝北区三圣建材有限公司,产业类别为水泥制品制造、砼结构构件制造、非金属废料和碎屑加工处理,2020/3/30,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200330/44070d1a-5764-45c3-ac1f-ae09f8f5cdb8.html,feb9bed5f6f0e22c409705cb00a1051c
重庆市武隆区规划和自然资源局国有土地使用权招拍挂出让成交公示 武隆规资公示[2020]3号,2020/4/8,重庆市武隆区规划和自然资源局国有土地使用权招拍挂出让成交公示 武隆规资公示[2020]3号,,WL2019-5-3号,重庆市武隆区火炉镇向前村砖房组,零售商业用地|用途名称,,,,,,,,,40年,226.51,中国石油天然气股份有限公司重庆涪陵销售分公司,,,,二、公示期：2020年04月08日至2020年04月13日,,,85619285,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200413/1900ddb0-6ba6-41d6-b5a9-831bae8b77ed.html,4250612e9684faa225b14fac9c711a72
重庆市武隆区规划和自然资源局国有土地使用权招拍挂出让成交公示武隆规资公示[2020]3号,2020/4/8,重庆市武隆区规划和自然资源局国有土地使用权招拍挂出让成交公示武隆规资公示[2020]3号,,WL2019-5-3号,,,,,,,,,,,40年,,,,,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200424/4f56a86e-d436-4959-ab5f-7b4a49a1b51b.html,c81e596020743dfcb6141db02f70cc8e
渝北区古路镇组团A分区A13-1/02地块、A13-2/02地块（G20013）,2020/4/8,渝北区古路镇组团A分区A13-1/02地块、A13-2/02地块（G20013）,G20013,,渝北区古路镇组团A分区A13-1/02地块、A13-2/02地块,二类工业用地,69982,0.7≤容积率≤1.5,,,,,,挂牌,,3919,重庆中投稳盛建材有限公司,产业类别为水泥制品制造、砼结构构件制造、其他水泥类似制品制造,2020/4/7,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200408/628d0085-7c9b-48f7-ad8b-9b8d4ffddc3f.html,8bcc54b89377c1f08693aee33dee8cc4
渝北区空港组团U分区U05-1/02地块（G20014）,2020/4/8,渝北区空港组团U分区U05-1/02地块（G20014）,G20014,,渝北区空港组团U分区U05-1/02地块,一类物流仓储用地,82206,≤1.5,,,,,,挂牌,,7152,重庆中空物流有限公司,产业类别无,2020/4/7,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200408/b017842d-6cd6-48d8-86ab-646d4dfc0e6b.html,2d857466a87bda453190066d1cc75f6b
渝北区唐家沱组团N分区 N4-8/03地块（G20015）,2020/4/8,渝北区唐家沱组团N分区 N4-8/03地块（G20015）,G20015,,渝北区唐家沱组团N分区 N4-8/03地块,一类工业用地（标准厂房）,69619,≤2.0,,,,,,挂牌,,4971,重庆联东金北实业有限公司,产业类别为通信设备、计算机及其他电子设备制造业,2020/4/7,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200408/cded90a2-a450-4663-9f21-8623fc3b00ed.html,1ce7cfee95d9ebff1fbf31d9838cacd6
1950号国有地使用权招拍挂出让成交结果公布,2020/4/9,1950号国有地使用权招拍挂出让成交结果公布,,1950,万古镇万兴社区4组,其他商服用地,18754.11,,,,,,,,40年,2287.8129,重庆大足永晟实业发展有限公司,,,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200413/b0e33eb9-92db-4aaa-878b-cbd8c9c51088.html,2e58bf283d7caa1a48f5835fcb30cc35
江津区国有建设用地公开出让挂牌成交公示,2020/4/13,江津区国有建设用地公开出让挂牌成交公示,,,：江津区珞璜工业园,,,,,,,,,,,,,,,,,,,023-47217310,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200413/31b17bab-ce2e-49e4-8907-2282b724d14a.html,671840db0d57a1386d39f2d557b7f1ab
两江新区龙兴组团I分区 I07、I10-1、I11、I13-1、I14-1-3地块（20025）,2020/4/13,两江新区龙兴组团I分区 I07、I10-1、I11、I13-1、I14-1-3地块（20025）,20025,,两江新区龙兴组团I分区 I07、I10-1、I11、I13-1、I14-1-3地块,二类居住用地、商业商务用地|为二类居住用地、商业商务用地,252301.7,,,,,,≤378452.55,拍卖,,167500,重庆两江新区置业发展有限公司,土地用途为二类居住用地、商业商务用地,2020/4/10,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200413/c9ae1bde-c26f-448a-accf-f7590fdba350.html,2822daf907e17be5f71d160099fec376
渝北区唐家沱组团N分区N2-1-2/03地块（G20016）,2020/4/13,渝北区唐家沱组团N分区N2-1-2/03地块（G20016）,G20016,,渝北区唐家沱组团N分区N2-1-2/03地块,一类工业用地,56191,1.0≤容积率≤1.5,,,,,,挂牌,,3821,重庆胖子天骄融兴食品有限责任公司,产业类别为食品制造业,2020/4/10,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200413/f0bb515c-22da-4524-ae6a-aef1bf0efd11.html,fbd22a0a4ac15e9b3bc82dc60e444055
渝北区唐家沱组团N分区N2-2-4/02（部分）地块（G20017）,2020/4/13,渝北区唐家沱组团N分区N2-2-4/02（部分）地块（G20017）,G20017,,渝北区唐家沱组团N分区N2-2-4/02（部分）地块,一类工业用地,56039,0.7≤容积率≤1.5,,,,,,挂牌,,3811,重庆市宇邦汽车电线有限公司,产业类别为汽车零部件及配件制造 ,2020/4/10,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200413/458fe30c-20a1-45bc-a43a-1c20cb9f5897.html,effb458a16847e922f5fe966e9d7d7e7
[2020]TL125233－001号成交公告,2020/4/15,[2020]TL125233－001号成交公告,,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200416/e31c48df-2ed0-490a-8eae-2c3f31797aa2.html,4caa6feb4d7ecf68cebff5995d77eb0c
重庆市潼南区公共资源交易中心国有土地使用权公开公告出让公告中标公示,2020/4/16,重庆市潼南区公共资源交易中心国有土地使用权公开公告出让公告中标公示,,TNC2020-8,,,,,,,,,,,,,,按规划执行,,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200417/1b4ad0cd-cb74-4202-9c79-57f338bc7acd.html,13f3220bbfc86199b97cdece9f42ccf0
两江新区两路组团I分区I39-1、I39-2、I39-3地块（20026）,2020/4/20,两江新区两路组团I分区I39-1、I39-2、I39-3地块（20026）,20026,,两江新区两路组团I分区I39-1、I39-2、I39-3地块,二类居住用地|为二类居住用地,99093.1,,,,,,≤138135.3,拍卖,,80500,重庆尖置房地产有限公司,土地用途为二类居住用地,2020/4/17,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200420/7bfdd0e9-3a2b-4d75-8c35-b59ccd37e12c.html,90dff327f12573d347eb10bfda410420
