行政区,土地坐落,总面积(公顷),土地用途,签订日期,项目名称,项目位置,面积(公顷),土地来源,供应方式,土地使用年限,行业分类,土地级别,成交价格(万元),分期支付约定-支付期号,分期支付约定-约定支付日期,分期支付约定-约定支付金额(万元),分期支付约定-备注,土地使用权人,约定容积率下限,约定容积率上限,约定交地时间,约定开工时间,约定竣工时间,实际开工时间,实际竣工时间,批准单位,合同签订日期,爬取时间,爬取地址url,唯一标识,
高要市,金利镇北区,2.70346,工业用地,2017-09-14,肇庆长源汽车配件有限公司,金利镇北区,2.70346,新增建设用地(来自存量库),拍卖出让,50,汽车制造,汽车制造土地级别：四级,740,1|,2017-10-14,740|, ,肇庆长源汽车配件有限公司,1,2,2017-09-30,2018-09-29,2019-09-29,2018-09-29,2019-09-29,肇庆市高要区人民政府,2017-09-14,2020-04-17 10:56:41,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092190878&__boxModel__=true&op=page_content&sessionID=64964&pn=1,ce6901140552f9f7f7bbd5e3b9cf2e00,
中山市本级,沙溪镇中兴村,0.77972,其他普通商品住房用地,2011-09-27,关于中山市沙溪镇中兴村厚山股份合作经济社申请受让土地作商业住宅用地的批复,沙溪镇中兴村,0.77972,新增建设用地,协议出让,70,房地产业,房地产业土地级别：五级,35.0874,1|,2011-11-26,35.0874|, ,中山市沙溪镇中兴村厚山股份合作经济社,1,2.5,2019-03-31,2019-12-21,2021-12-21,,,中山市人民政府,2011-09-27,2020-04-17 10:56:42,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092191347&__boxModel__=true&op=page_content&sessionID=29803&pn=1,f464c2b72b19a36cd70177113462e973,
徐闻县,徐闻大道第二区R23-1号,0.0135,其他普通商品住房用地,2014-11-03,住宅用地,徐闻大道第二区R23-1号,0.0135,新增建设用地,划拨,,房地产业,房地产业土地级别：十一级,0,,,,,董溢,1,6,2019-02-03,2020-02-02,2022-02-02,,,徐闻县人民政府,2014-11-03,2020-04-17 10:56:42,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092191950&__boxModel__=true&op=page_content&sessionID=25354&pn=1,b1f84aed98aff1ad11fca0b99361d1cc,
台山市,台山市端芬镇河滨区一号,2.142826,其他普通商品住房用地,2011-11-15,房地产,台山市端芬镇河滨区一号,2.142826,现有建设用地,挂牌出让,商务金融用地40年; 其他普通商品住房用地70,房地产业,房地产业土地级别：未评估地区,1380,1|,2011-11-25,1380|, ,台山市荣富房地产开发有限公司,1,2.1,2018-09-29,2019-09-28,2020-09-28,,,台山市人民政府,2011-11-15,2020-04-17 10:56:43,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092192632&__boxModel__=true&op=page_content&sessionID=912&pn=1,f31ba567b0bdc0f18a48924577504b3b,
潮州市本级,湘桥区意东三路南段,9.333334,其他普通商品住房用地,2015-12-29,湘桥区意东三路南段QD-6地块国有土地使用权挂牌出让项目,湘桥区意东三路南段,9.333334,现有建设用地,挂牌出让,其他普通商品住房用地70年; 科教用地50,房地产业,房地产业土地级别：一级,40600,1|,2016-01-28,40600|, ,潮州市韩东新区建设投资开发有限公司,1,3.5,2019-01-28,2020-01-28,2023-01-28,,,潮州市人民政府,2015-12-29,2020-04-17 10:56:44,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092193262&__boxModel__=true&op=page_content&sessionID=78865&pn=1,215c779cb98f1261475ef90399cecc22,
电白区,电白区南方商业城西区十行53号,0.0088,其他普通商品住房用地,2018-01-24,茂名市财政局,电白区南方商业城西区十行53号,0.0088,现有建设用地,协议出让,70,房地产业,房地产业土地级别：七级,9.34,1|,2018-02-23,9.34|, ,茂名市财政局,1,,,,,,,电白区人民政府,2018-01-24,2020-04-17 10:56:44,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092193860&__boxModel__=true&op=page_content&sessionID=4380&pn=1,c6f3f2b22e3bd3055b186557bb2a29ee,
新丰县,云髻山西坑首期,6.8,其他普通商品住房用地,2015-07-17,住宅用地,云髻山西坑首期,6.8,现有建设用地,挂牌出让,其他商服用地40年; 其他普通商品住房用地70,房地产业,房地产业土地级别：八级,2272,1|2|,2015-08-14|2015-09-14,1137|1135|,  ,广东云髻山温泉度假山庄有限公司,1,1.2,2015-09-26,2015-11-26,2017-11-26,2016-04-05,2017-11-16,新丰县人民政府,2015-07-17,2020-04-17 10:56:45,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092194604&__boxModel__=true&op=page_content&sessionID=79012&pn=1,20f3df5226908d61fb926f83605a216f,
清远市本级,清远高新技术产业开发区莲湖高新技术产业园,2.134197,其他普通商品住房用地,2015-03-16,清远市经济开发区嘉盈投资开发有限公司,清远高新技术产业开发区莲湖高新技术产业园,2.134197,新增建设用地,挂牌出让,70,房地产业,房地产业土地级别：八级,3430,1|,2015-04-15,3430|, ,清远市经济开发区嘉盈投资开发有限公司,1,2.5,2018-09-29,2019-09-29,2021-09-29,,,广东清远高新技术产业开发区管理委员会（市政府授权）人民政府,2015-03-16,2020-04-17 10:56:45,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092195254&__boxModel__=true&op=page_content&sessionID=47636&pn=1,8c73be306ffeabf8c0955ace4ae52e22,
雷州市,雷州上坡新村,0.0055,中低价位、中小套型普通商品住房用地,2011-08-16,李俊贤,雷州上坡新村,0.0055,现有建设用地,协议出让,70,房屋和土木工程业,房屋和土木工程业土地级别：四级,2.6246,1|,2011-08-16,2.6246|, ,李俊贤,,,2011-08-16,2011-07-25,2012-07-25,,,雷州市人民政府,2011-08-16,2020-04-17 10:56:46,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092195704&__boxModel__=true&op=page_content&sessionID=61637&pn=1,2c1d98323fbde8f9e7f47fe70f067e17,
顺德区,龙江镇大坝工业基地E07地块,11.543277,工业用地,2007-06-29,龙江佛山市顺德区粤海装饰配套工程有限公司厂房,龙江镇大坝工业基地E07地块,11.543277,现有建设用地,协议出让,50,家具制造业,家具制造业土地级别：三级,2539.5209,1|,2007-07-29,2539.5209|, ,佛山市顺德区粤海装饰配套工程有限公司,1.2,2,2007-06-30,2018-05-13,2020-05-12,,,佛山市人民政府,2007-06-29,2020-04-17 10:56:46,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092196382&__boxModel__=true&op=page_content&sessionID=34392&pn=1,6fda440207cc546115b6823c732e51dc,
