文件标题, 正文标题, 公告类型, 行政区, 供应公告标题, 发布时间, 出让文件获取时间,出让文件获取地址,保证金截止时间, 确认竞买资格时间, 联系地址, 联系电话, 联系人, 开户单位, 开户银行, 银行账号, 宗地编号,宗地面积, 宗地坐落, 岀让年限, 容积率, 建筑密度(%), 绿地率(%), 建筑限高(米),土地用途, 投资强度, 保证金, 估价报告备案号, 现状土地条件, 起始价, 加价幅度,挂牌截止时间, 挂牌开始时间, 基础设施配套,是否土地平整, 排污设施状况, 备注, 爬取时间, 爬取地址url, 唯一标识, 
英德市自然资源局国有土地使用权挂牌出让公告(英公易土告字[2020]035号),英德市自然资源局国有土地使用权挂牌出让公告(英公易土告字[2020]035号),挂牌,英德市,英德市自然资源局国有土地使用权挂牌出让公告(英公易土告字[2020]035号),2020-04-15,2020年04月15日 至 2020年05月13日,http://www.ydjyzx.cn/gtzy ,2020-05-13 17:00,2020-05-13 17:00,英德市英城金子山一号路财政局大楼一楼清远市公共资源交易英德分中心,0763-2668091,0763-2668091,,,,101700,62164,英德市望埠镇宝墩湖以北,50年,大于1并且小于或等于2,,大于或等于35,,城镇住宅用地,万元/公顷,3750万元,,场地平整：  基础设施：,7500万元,75万元,2020-05-15 16:00,2020-05-05 09:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},,2020-04-17 10:32:51,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090761573&__boxModel__=true&op=page_content&sessionID=29645&pn=1,82fa3c35b6afd92ac2f2ec752795dd7b,
仲恺高新区国土资源分局国有土地使用权挂牌出让公告(惠公易土仲恺[2020]018号),仲恺高新区国土资源分局国有土地使用权挂牌出让公告(惠公易土仲恺[2020]018号),挂牌,仲恺高新区分局,仲恺高新区国土资源分局国有土地使用权挂牌出让公告(惠公易土仲恺[2020]018号),2020-04-11,2020年04月11日 至 2020年05月19日,惠州市公共资源交易中心仲恺分中心 ,2020-05-19 09:00,2020-05-19 09:00,广东省惠州市仲恺高新区和畅五路人才服务大厦10楼,0752-3278419,0752-3278419,,,,GZK2020-19,36400平方米,惠州仲恺高新区潼湖镇三和村,50年,大于或等于1,,大于或等于15并且小于或等于20,,工业用地,8500万元/公顷,1676万元,,,3353万元,30万元,2020-05-19 10:00,2020-05-06 09:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},,2020-04-17 10:32:52,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090762108&__boxModel__=true&op=page_content&sessionID=2399&pn=1,9e63f86844fbf58c75e796b87c7795e6,
德庆县自然资源局国有土地使用权拍卖出让公告(德自然资告字[2020]004号),德庆县自然资源局国有土地使用权拍卖出让公告(德自然资告字[2020]004号),拍卖,德庆县,德庆县自然资源局国有土地使用权拍卖出让公告(德自然资告字[2020]004号),2020-04-09,2020年04月09日 至 2020年04月28日,肇庆市公共资源交易中心德庆分中心网上交易系统(http://ggzy.zhaoqing.gov.cn/) 获取 拍卖 出让文件,,,德庆县德庆大道林业局大楼内,0758-7788639,0758-7788639,,,,DQ2020-03,6903平方米,德庆县城官圩镇、高良镇区域地块一至地块四十四,50年,大于或等于1,,,,公用设施用地,万元/公顷,28万元,,现状土地条件：净地出让,138万元,10万元,,,{JCSSPT},{SFTDPZ},{SFJBPWSS},,2020-04-17 10:32:53,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090762789&__boxModel__=true&op=page_content&sessionID=50417&pn=1,fc1f1c9353552a063b13cea9ea908101,
东莞市自然资源局国有土地使用权挂牌出让公告(莞[2020]024号),东莞市自然资源局国有土地使用权挂牌出让公告(莞[2020]024号),挂牌,东莞市本级,东莞市自然资源局国有土地使用权挂牌出让公告(莞[2020]024号),2020-04-01,2020年04月01日 至 2020年04月20日,http://www.ggzy.dg.gov.cn ,2020-04-20 17:00,2020-04-21 17:00,,,,,,,2020WU002,58009,谢岗镇曹乐村,50年,小于或等于0,,大于或等于10,,公用设施用地,万元/公顷,2000万元,,场地平整：  基础设施：三通,4043万元,100万元,2020-04-21 15:00,2020-04-20 09:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},,2020-04-17 10:32:55,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090764248&__boxModel__=true&op=page_content&sessionID=87110&pn=1,6b50a53926f0bd15df3ff8fd40231f44,
广州开发区规划和自然资源局国有土地使用权挂牌出让公告(穗规划资源埔（开）挂出告字[2020]18号),广州开发区规划和自然资源局国有土地使用权挂牌出让公告(穗规划资源埔（开）挂出告字[2020]18号),挂牌,黄埔区,广州开发区规划和自然资源局国有土地使用权挂牌出让公告(穗规划资源埔（开）挂出告字[2020]18号),2020-04-03,2020年04月03日 至 2020年04月22日,http://www.gzggzy.cn ,2020-04-22 17:00,2020-04-27 17:00,,,,,,,JLGY-C-9,10009平方米,中新广州知识城九龙工业园内，改革大道以西、红卫路以北,50年,大于或等于2并且小于或等于4,小于或等于50,小于或等于20,,工业用地,万元/公顷,187万元,4409120BA0016,,931万元,20万元,2020-05-08 10:00,2020-04-23 09:00,,,,1.竞买保证金人民币187万元、港币210万元、美元30万元。2.按《地块配套条件》的交地标准进行移交，详见《国有建设用地使用权出让合同》附件4。3.地块建成后的所有建筑（包括地下建筑及地上建筑）必须整体确权，不得分割转让。,2020-04-17 10:32:56,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090763998&__boxModel__=true&op=page_content&sessionID=63706&pn=1,350c117d878017c8e7ed7277d64e3bd6,
郁南县自然资源局国有土地使用权挂牌出让公告(郁自然资告字[2020]5号),郁南县自然资源局国有土地使用权挂牌出让公告(郁自然资告字[2020]5号),挂牌,郁南县,郁南县自然资源局国有土地使用权挂牌出让公告(郁自然资告字[2020]5号),2020-03-31,2020年03月31日 至 2020年04月19日,云浮市公共资源交易中心郁南分中心 ,2020-05-06 16:00,2020-05-06 11:00,郁南县都城镇中山路58号（行政服务中心四楼）,0766-7316463,0766-7316463,云浮市公共资源交易中心,由竞买人在网上挂牌交易系统自行选择,网上挂牌交易系统随机产生的子账号,云郁出挂(2020)005号,192平方米,南江口镇杨梅塘村地块,50年,小于或等于2,,,,公用设施用地,万元/公顷,15万元,4420120BA0003,,48万元,1万元,2020-05-08 16:00,2020-04-20 08:00,,,,竞得人自取得土地之日起一年内进场动工建设，正式动工之日起三年内竣工；逾期不动工建设或构成闲置的，按国土资源部《闲置土地处置办法》（国土资源部2012年第53号令）的规定处理。,2020-04-17 10:32:56,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090764807&__boxModel__=true&op=page_content&sessionID=94914&pn=1,4135438497ca656e42060b2232eb2ea0,
中山市自然自然局国有土地使用权挂牌出让公告(中土告字[2018]0117号),中山市自然自然局国有土地使用权挂牌出让公告(中土告字[2018]0117号),挂牌,中山市本级,中山市自然自然局国有土地使用权挂牌出让公告(中土告字[2018]0117号),2020-03-27,2020年03月20日 至 2020年04月22日,中山市公共资源交易网（网址：http://www.zsjyzx.gov.cn） ,2020-04-21 17:00,2020-04-22 11:00,中山市博爱六路22号市行政服务中心（原市博览中心常年展厅）二楼市公共资源交易中心E区,0760-89817365,0760-89817365,中山市公共资源交易中心,由竞买人在中山市公共资源交易网土地与矿业权交易系统中申请获取,由竞买人在中山市公共资源交易网土地与矿业权交易系统中申请获取,W08-18-0117,31178,中山市民众镇沙仔村,50年,大于或等于2并且小于或等于2,大于或等于35并且小于或等于60,大于或等于10并且小于或等于15,,工业用地,5250万元/公顷,1130万元,4408119BB0180,,2260,20万元,2020-04-23 09:00,2020-03-20 09:00,,,,1.本宗用地以现状（净地）出让。2.本次公开出让不设保留价。 3. 国有建设用地使用权出让价款支付方式：上网竞价成交后，竞得人将国有建设用地使用权出让价款于签订《出让合同》之日起30天内一次性支付完毕（含保证金结转出让价款）。 4.建设用地交付时间：2020年6月29日之前；建设用地交付标准：按土地现状 。 5.土地开发建设条件：①行业要求：塑料薄膜制造，行业代码为2921（引自GB/T4754-2011）；②投资强度：≥5 250元/平方米（根据《中山市产业结构调整指导目录（2013年版）》中府[2013]110号）；③建设期限：在2021年3月26日之前之前开工，在2022年3月26日之前竣工；④成交后，竞得人须在签订《出让合同》的同时签订《用地开发建设监管合同》，就该用地的开发建设接受监管。 6.达产要求：年产值：自土地交付之日起1095日前达到人民币48000万元。年税收：自土地交付之日起1095日前达到人民币3936万元。7.经公开出让并已建成投产的工业用地（产业用地）受让人或土地实际使用人在土地出让存续期内，出现停工、停产等非生产经营情况满一年的，由土地所在地镇（区）政府责令其恢复生产经营活动。停工、停产等非生产经营情况的认定标准由所在地镇（区）政府根据项目实际情况进行认定。经责令和处理仍不恢复生产经营的，出让人可根据所在地镇（区）政府申请，与受让人解除出让合同。受让人将土地退还给出让人后，出让人扣除受让人应当支付的违约金及其他必要费用后，将已收取的国有建设用地使用权出让价款退还给受让人（不计利息）。 8.受让人因自身原因未能按照出让合同约定日期开工建设逾期超过270日但未满一年的，出让人有权解除出让合同。受让人将土地退还给出让人后，出让人扣除受让人应当支付的违约金及其他必要费用后，将已收取的国有建设用地使用权出让价款退还给受让人（不计利息）。 9.若竞得人为非中山市民众镇注册的企业，则竞得人须在签订本合同之日起60天内在中山市民众镇注册成立全资独立法人企业，再办理不动产产权登记手续。,2020-04-17 10:32:56,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090765347&__boxModel__=true&op=page_content&sessionID=36349&pn=1,9fc176c1d5d14df953c54c621fc4fc77,
佛山市自然资源局国有土地使用权挂牌出让公告(TD2020[NH]WG0003号),佛山市自然资源局国有土地使用权挂牌出让公告(TD2020[NH]WG0003号),挂牌,南海区,佛山市自然资源局国有土地使用权挂牌出让公告(TD2020[NH]WG0003号),2020-03-25,2020年02月29日 至 2020年04月20日,佛山市国有建设用地使用权和矿业权网上交易系统 ,2020-04-20 17:00,2020-04-20 17:00,佛山市南海区桂城南海大道北28号,0757-86369250,0757-86369250,,,,TD2020(NH)WG0003,56273,佛山市南海区里水镇洲村社区居民委员会（土名）“边带路”地段,70年,大于1并且小于或等于3,,,,城镇住宅用地,万元/公顷,31994万元,,,159967万元,1500万元,2020-04-22 10:00,2020-04-12 08:00,,,,,2020-04-17 10:32:57,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090765850&__boxModel__=true&op=page_content&sessionID=86724&pn=1,2072bcda89234dd2eec1e5c035487dd2,
广州市规划和自然资源局国有土地使用权挂牌出让公告(穗规划资源挂出告字[2020]18号),广州市规划和自然资源局国有土地使用权挂牌出让公告(穗规划资源挂出告字[2020]18号),挂牌,广州市本级,广州市规划和自然资源局国有土地使用权挂牌出让公告(穗规划资源挂出告字[2020]18号),2020-03-20,2020年03月20日 至 2020年04月08日,广州公共资源交易网（http://www.gzggzy.cn/）服务指南栏目的办事指引中下载 ,2020-04-08 17:00,2020-05-06 17:00,广州市天河区天润路333号广州公共资源交易中心,（020）28866412、28866078,（020）28866412、28866078,,,,天河区广氮AT0607113地块,17648平方米,天河区广氮AT0607113地块,70年,大于1并且小于或等于3,,,,城镇住宅用地,万元/公顷,人民币37228万元,,,186138万元,2000万元,2020-04-20 10:00,2020-04-09 00:00,,,,计算容积率建筑面积≤58168平方米；竞买保证金：人民币37228万元、港币42000万元、美元5400万元。,2020-04-17 10:32:57,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090766583&__boxModel__=true&op=page_content&sessionID=36198&pn=1,c0866018cd885e7979f0164f45791673,
佛山市自然资源局国有土地使用权挂牌出让公告(TD2020[NH]WG0007号),佛山市自然资源局国有土地使用权挂牌出让公告(TD2020[NH]WG0007号),挂牌,南海区,佛山市自然资源局国有土地使用权挂牌出让公告(TD2020[NH]WG0007号),2020-03-20,2020年03月20日 至 2020年04月18日,佛山市国有建设用地使用权和矿业权网上交易系统 ,2020-04-18 17:00,2020-04-18 17:00,佛山市南海区桂城南海大道北28号,0757-86369250,0757-86369250,,,,TD2020(NH)WG0007,29299,佛山市南海区丹灶镇物流中心荣泰路南侧地段地块,50年,大于或等于1,,,,工业用地,万元/公顷,442万元,,,2206万元,22万元,2020-04-20 10:00,2020-04-10 08:30,,,,,2020-04-17 10:32:58,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090767048&__boxModel__=true&op=page_content&sessionID=21037&pn=1,8cd276ddc182a0d9f561307862d655c8,
