文件标题,发布时间,文章来源,索引号,信息分类,发布机构,发文日期,文号,是否有效,信息名称,正文标题,宗地编号/地块编号,宗地总面积/挂牌面积(m2),土地坐落/宗地坐落,使用年限,岀让年限,容积率,建筑密度(%)/建筑密度,绿地率/|绿化率(%),建筑限高/建筑限高(米),土地用途明细/土地用途,投资强度,保证金(万元)/保证金,估价报告备案号,起始价/起始价(万元),加价幅度,挂牌开始时间,挂牌截止时间,获取出让文件时间,获取出让文件地点,报名时间,报名地点,保证金截止时间,确认竞买资格时间,联系地址,联系人,联系电话,开户单位,开户银行,银行帐号,爬取时间,爬取地址url,唯一标识,
都匀市国土资源局国有土地使用权挂牌出让公告,2018年03月28日 15:10,贵州省自然资源厅,GZ000001/2018-00196,土地出让转让公告,贵州省自然资源厅,2018年03月28日,匀国土出让告字[2018]05号,是,都匀市国土资源局国有土地使用权挂牌出让公告,都匀市国土资源局国有土地使用权挂牌出让公告(匀国土出让告字[2018]05号),|GP2018-07|GP2018-08|GP2018-09,|1779平方米|10837平方米|100840.39平方米,|都匀市剑江中路西侧、胜利路北侧|都匀市剑江中路西侧、胜利路北侧|绿茵湖产业园区邦水大道北侧，标准化厂房西侧,,|40年|40年|50年,|等于0.54|等于0|等于0.7,|等于25||等于30,|||等于20,,|其他商服用地|其他商服用地|工业用地,|万元/公顷|万元/公顷|万元/公顷,|579万元|765万元|1226万元,,|1157万元|1530万元|2451万元,|20万元|20万元|20万元,|2018年04月02日08时00分|2018年04月02日08时00分|2018年04月02日08时00分,|||2018年04月12日17时00分,2018年03月13日 至 2018年04月10日 ,西苑大世界（狮子桥头）都匀市国土资源交易中心 ,2018年03月13日 至 2018年04月10日 ,西苑大世界（狮子桥头）都匀市国土资源交易中心 ,2018年04月10日16时00分,2018年04月10日16时00分 ,西苑大世界（狮子桥头）都匀市国土资源交易中心,罗女士、韩先生,0854-8683159、0854-8682120,,,,2020-04-29 10:05:56,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201803/t20180328_25186922.html,3724274f9a58d73968f9d5a7c4d7dbf5,
长顺县国土资源局国有土地使用权挂牌出让公告,2018年09月28日 15:14,贵州省自然资源厅,GZ000001/2018-22290,土地出让转让公告,贵州省自然资源厅,2018年09月28日,长国土资告字[2018]4号,是,长顺县国土资源局国有土地使用权挂牌出让公告,长顺县国土资源局国有土地使用权挂牌出让公告(长国土资告字[2018]4号),|20018-4-5|2018-4-1|2018-4-2|2018-4-3|2018-4-4|2018-4-6,|27577平方米|14861平方米|69535平方米|9842平方米|28418平方米|14484平方米,|城南新区城南大道至西收费站旁|长寨街道办威远社区309省道旁|广顺经开区轻工产业园内|广顺经开区轻工产业园内|广顺镇南场社区|城南新区城南大道至西收费站旁,,|40年|70年|50年|50年|50年|40年,|小于或等于3|大于1并且小于或等于2.4|大于或等于0.7|大于或等于0.7|大于或等于0.7|小于或等于4,|小于或等于50|小于或等于40|大于或等于30|大于或等于30|大于或等于30|小于或等于40,|大于或等于35|大于或等于35||||大于或等于35,,|其他商服用地|其他普通商品住房用地|工业用地|工业用地|工业用地|其他商服用地,|万元/公顷|万元/公顷|150万元/公顷|150万元/公顷|150万元/公顷|万元/公顷,|2851万元|819万元|630万元|90万元|258万元|1553万元,,|5701万元|1637万元|1259万元|179万元|515万元|3106万元,|10万元|10万元|10万元|5万元|5万元|10万元,|2018年10月17日08时00分|2018年10月17日08时00分|2018年10月17日08时00分|2018年10月17日08时00分|2018年10月17日08时00分|2018年10月17日08时00分,,2018年09月27日 至 2018年10月26日 ,黔南州公共资源交易中心长顺县分中心 ,2018年09月27日 至 2018年10月26日 ,黔南州公共资源交易中心长顺县分中心 ,2018年10月26日17时00分,2018年10月26日17时00分 ,黔南州公共资源交易中心长顺县分中心（长顺县人才公寓八楼交易大厅）,谢红兰、毛华萍、胡小海,0854-6824912,黔南州公共资源交易中心长顺县分中心,长顺县农村信用社合作联社,82000000000188693,2020-04-29 10:05:56,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201809/t20180928_25550874.html,5526767d0cdd61ff8d783a0c0649ccfc,
红果经济开发区国土资源分局国有土地使用权挂牌出让公告,2017年08月25日 16:39,贵州省自然资源厅,GZ000001/2017-00758,土地出让转让公告,贵州省自然资源厅,2017年08月25日,红国土资挂告字[2017]02号,是,红果经济开发区国土资源分局国有土地使用权挂牌出让公告,宗地编号：,|2016-G-36|2016-G-37|2016-G-38|2016-G-39|2016-G-40,|15556平方米|38619.8平方米|46796.3平方米|10521.7平方米|42077平方米,|红果开发区（两河新区）沙坡南北5号路与沙坡东西2号路交叉口|红果开发区（两河新区）沙坡南北6号路与沙坡东西2号路交叉口|||,,|40年|40年|40年|40年|40年,|小于3.5|小于3.5|小于3.5|小于3.5|小于3.5,|大于35|大于35|||,|大于35|大于35|大于35|大于35|大于35,|小于100|小于100|小于100|小于100|小于100,|其他商服用地|其他商服用地|其他商服用地|其他商服用地|其他商服用地,|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷,|400万元|991万元|1202万元|268万元|1515万元,,|1995.76万元|4955万元|6008.64万元|1336.31万元|7575万元,|4万元|8万元|10万元|3万元|9万元,|2017年09月05日09时00分|2017年09月05日09时00分|2017年09月05日09时00分|2017年09月05日09时00分|2017年09月05日09时00分,,2017年08月14日 至 2017年09月04日 ,六盘水市公共资源交易中心 ,2017年08月14日 至 2017年09月04日 ,六盘水市公共资源交易中心 ,2017年09月04日16时00分,2017年09月04日17时00分 ,六盘水市公共资源交易中心（六盘水市钟山西路白鹤高架桥北侧）,舒畅旺,0858-3846083、13885819395,六盘水市公共资源交易中心,贵州银行六盘水官厅支行,,2020-04-29 10:05:57,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201709/t20170915_24804330.html,2927fb7c1545c2dc452ea210ce6f714d,
贵安新区国土资源局国有土地使用权挂牌出让公告,2017年09月28日 16:55,贵州省自然资源厅,GZ000001/2017-09273,土地出让转让公告,贵州省自然资源厅,2017年09月28日,黔贵安公资告字[2017]6号,是,贵安新区国土资源局国有土地使用权挂牌出让公告,贵安新区国土资源局国有土地使用权挂牌出让公告(黔贵安公资告字[2017]6号),|ZH-11-01|ZH-11-02|ZH-12-01|ZH-12-02,|47164.69平方米|45555.3平方米|47566.8平方米|31037.37平方米,|湖磊路交西咸路东北侧|湖磊路交西咸路东北侧|湖磊路交西咸路东北侧|湖磊路交西咸路东北侧,,|50年|40年|50年|40年,|大于或等于1并且小于100|小于或等于1.5|大于或等于1|小于或等于1.5,|大于或等于30并且小于100|小于或等于35|大于或等于30|小于或等于35,|小于或等于20|大于或等于25|小于或等于20|大于或等于25,|小于或等于24|小于或等于24|小于或等于24|小于或等于24,|工业用地|批发零售用地|工业用地|批发零售用地,|万元/公顷|万元/公顷|万元/公顷|万元/公顷,|725万元|3960万元|730万元|2700万元,,|1316万元||1327万元|,,|2017年10月13日09时00分|2017年10月13日09时00分|2017年10月13日09时00分|2017年10月13日09时00分,,2017年09月23日 至 2017年10月20日 ,贵安新区公共资源电子交易平台 ,2017年10月13日 至 2017年10月20日 ,贵安新区公共资源电子交易平台 ,2017年10月20日16时00分,2017年10月20日17时00分 ,贵阳市花溪区甲秀南路396号（甲秀南路与迎宾路交叉口前行300米）,,0851-88902808、0851-88354911,,,,2020-04-29 10:05:58,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201709/t20170928_24813319.html,d1b30d9e269b7b9e66bb83b896c4a851,
湄潭县国土资源局国有土地使用权拍卖出让公告,2017年09月29日 16:07,贵州省自然资源厅,GZ000001/2017-09808,土地出让转让公告,贵州省自然资源厅,2017年09月29日,湄国土资告字[2017]30号,是,湄潭县国土资源局国有土地使用权拍卖出让公告,湄潭县国土资源局国有土地使用权拍卖出让公告(湄国土资告字[2017]30号),|CR2017-30号,|39122平方米,|湄潭县中心城区茶城大道与双拥路交叉口西侧,,|50年,|大于1并且小于或等于2.5,|小于或等于30,|大于或等于30,|小于或等于60,|中低价位、中小套型普通商品住房用地,|万元/公顷,|2000万元,,,,,,2017年09月28日 至 2017年10月18日 ,,2017年09月28日 至 2017年10月18日 ,湄潭县国土资源局利用股 ,2017年10月18日16时00分,2017年10月18日17时00分 ,湄潭县国土资源局,陈先生、曾先生,0851-24257596、24226325,湄潭县国土资源局,中国建设银行股份有限公司湄潭支行,52001626236052505,2020-04-29 10:05:58,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201709/t20170929_24814109.html,ac1b059c524527a432165114671edfcb,
丹寨县国土资源局国有土地使用权挂牌出让公告,2017年09月29日 16:08,贵州省自然资源厅,GZ000001/2017-09811,土地出让转让公告,贵州省自然资源厅,2017年09月29日,丹国土挂告字[2017]03号,是,丹寨县国土资源局国有土地使用权挂牌出让公告,丹寨县国土资源局国有土地使用权挂牌出让公告(丹国土挂告字[2017]03号),|2017-01(共计地块7宗）,|37971.18平方米,|丹寨县兴仁镇农业园区,,|50年,|大于或等于0.7,|大于或等于30,|小于或等于20,|小于或等于30,|工业用地,|1995万元/公顷,|555万元,,|555万元,|1万元,|2017年10月17日09时00分,|2017年10月30日15时00分,2017年09月28日 至 2017年10月27日 ,黔东南州公共资源交易系统（http://www.qdnggzy.cn/qdnztb/）中下载挂牌出让须知和其它网上挂牌出让文件 ,2017年09月28日 至 2017年10月27日 ,黔东南州公共资源交易网（http://www.qdnggzy.cn/qdnztb/）登录网上交易系统 ,2017年10月27日17时00分,2017年10月27日17时00分 ,黔东南州公共资源交易中心,,,黔东南苗族侗族自治州公共资源交易中心,贵阳银行凯里分行,18910121050000581,2020-04-29 10:05:59,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201709/t20170929_24814112.html,c9fcd95802bc7d6f33a9ebc712506333,
清镇市国土资源局国有土地使用权挂牌出让公告,2017年09月29日 16:09,贵州省自然资源厅,GZ000001/2017-09814,土地出让转让公告,贵州省自然资源厅,2017年09月29日,筑公资告[2017]地字第040号,是,清镇市国土资源局国有土地使用权挂牌出让公告,清镇市国土资源局国有土地使用权挂牌出让公告(筑公资告[2017]地字第040号),|QZ(17)025,|36702平方米,|清镇市王庄乡王庄村境内,,|70年,|等于1,|等于35,|大于或等于35,,|中低价位、中小套型普通商品住房用地,|万元/公顷,|625万元,,|2075万元,|91万元,|2017年10月19日09时00分,,2017年09月29日 至 2017年10月30日 ,贵阳市公共资源交易监管网下载 ,2017年10月19日 至 2017年10月30日 ,贵阳市公共资源交易中心 ,2017年10月30日16时00分,2017年10月30日17时00分 ,贵阳市观山湖区中天会展中心SOHO办公区G座,,0851-84839731、84839730,,,,2020-04-29 10:06:00,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201709/t20170929_24814115.html,4575b2bb2254263cb99cc1e6ff16cb8c,
都匀市国土资源局国有土地使用权挂牌出让公告,2017年10月31日 11:31,贵州省自然资源厅,GZ000001/2017-12908,土地出让转让公告,贵州省自然资源厅,2017年10月31日,匀国土出让告字[2017]17号,是,都匀市国土资源局国有土地使用权挂牌出让公告,都匀市国土资源局国有土地使用权挂牌出让公告(匀国土出让告字[2017]17号),|GP2017-34,|47963.77平方米,|广惠办事处剑江北路北侧,,|40年,|等于4.9,|等于60,|等于25,,|其他商服用地,|万元/公顷,|8246万元,,|41230万元,|50万元,|2017年11月11日08时00分,|2017年11月21日17时00分,2017年10月23日 至 2017年11月19日 ,西苑大世界（狮子桥头）都匀市国土资源交易中心 ,2017年10月23日 至 2017年11月19日 ,西苑大世界（狮子桥头）都匀市国土资源交易中心 ,2017年11月19日16时00分,2017年11月19日16时00分 ,西苑大世界（狮子桥头）都匀市国土资源交易中心,梁先生、罗女士、韩先生,0854-8682909、0854-8682120,,,,2020-04-29 10:06:00,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201710/t20171031_24909717.html,fcf88ee526b9e71221d1468cdff5bb39,
瓮安县国土资源局国有土地使用权挂牌出让公告,2017年10月31日 11:32,贵州省自然资源厅,GZ000001/2017-12909,土地出让转让公告,贵州省自然资源厅,2017年10月31日,瓮国土资告字[2017]10号,是,瓮安县国土资源局国有土地使用权挂牌出让公告,瓮安县国土资源局国有土地使用权挂牌出让公告(瓮国土资告字[2017]10号),|瓮国让2017-6,|6318平方米,|瓮安县银盏镇尖山,,|40年,|小于或等于3,|小于或等于45,|大于或等于25,|小于或等于50,|商务金融用地,|万元/公顷,|644.436万元,,|644.436万元,|6.318万元,|2017年11月14日08时30分,,2017年10月25日 至 2017年11月21日 ,黔南州公共资源交易中心瓮安县分中心B320办公室 ,2017年10月25日 至 2017年11月21日 ,黔南州公共资源交易中心瓮安县分中心B320办公室 ,2017年11月21日16时00分,2017年11月21日16时00分 ,,,,,,,2020-04-29 10:06:01,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201710/t20171031_24909718.html,c5cd307c7411e9c7c45a6b012d7a95e4,
贵阳市国土资源局国有土地使用权挂牌出让公告,2017年10月31日 11:33,贵州省自然资源厅,GZ000001/2017-12913,土地出让转让公告,贵州省自然资源厅,2017年10月31日,筑公资告[2017]048号,是,贵阳市国土资源局国有土地使用权挂牌出让公告,贵阳市国土资源局国有土地使用权挂牌出让公告(筑公资告[2017]048号),|G（17）032|G（17）033,|174612平方米|118781平方米,|花溪区燕楼镇燕楼村、谷蒙村|花溪区燕楼镇燕楼村、谷蒙村,,|50年|50年,|大于或等于1并且小于或等于2.5|大于或等于1并且小于或等于2.5,|大于或等于40|大于或等于40,|等于20|等于20,|小于或等于35|小于或等于35,|仓储用地|仓储用地,|万元/公顷|万元/公顷,|1930万元|1315万元,,,,|2017年10月27日09时00分|2017年10月27日09时00分,,2017年10月27日 至 2017年11月27日 ,贵阳市公共资源交易中心（可在贵阳市公共资源交易监管网下载） ,2017年11月16日 至 2017年11月27日 ,贵阳市公共资源交易中心 ,2017年11月27日16时00分,2017年11月27日17时00分 ,贵阳市观山湖区中天会展中心SOHO 办公区G 座（会展东路与会展北路交叉口）三楼,,,,,,2020-04-29 10:06:01,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201710/t20171031_24909723.html,8453ea5b766a843044666c375ec48d09,
