城市,行政区,供应公告标题,公告编号,公告类型,发布时间,网上创建时间,宗地编号：,宗地总面积：,宗地坐落：,出让年限：,容积率：,建筑密度(%)：,绿化率(%)：,建筑限高(米)：,主要用途：,明细用途,用途名称,面积,投资强度：,保证金：,估价报告备案号,起始价：,加价幅度：,挂牌开始时间：,挂牌截止时间：,受让单位,地块位置,土地用途,成交价(万元),土地面积(公顷),提交书面申请地,缴纳竞买保证金截止时间,确认竞买资格时间,拍卖开始时间,拍卖挂牌进行地点,联系地址,联系人,联系电话,开户单位,开户银行,银行账号,内容链接,主键MD5,爬取时间
北京市,大兴区,北京市规划和自然资源委员会大兴分局国有土地使用权挂牌出让公告(京土整储挂（兴）工业[2020]002号),(京土整储挂（兴）工业[2020]002号),挂牌,2020/4/17,2020/4/17,京土整储挂（兴）工业【2020】002号,19983.72平方米,大兴生物医药产业基地,20年,小于或等于2,,,,工业用地,,工业用地,19983.72,万元/公顷,600万元,1104920BA0002,2801.1161万元,20万元,2020年04月17土09时00分,2020年05月06土17时00分,,,,,,北京市规划和自然资源委员会大兴分局,2020年05月20土15时00分,2020年05月20土17时00分,,北京市土地交易市场大兴区分市场,北京市大兴区黄村镇金华寺东路1号,,69261062,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=779e6013-150d-4bed-a82f-2d3963a60402&sitePath=,ef3fc343828a150a3684ee55f5a38a35,2020-04-22 16:40:06
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂(丰)[2020]019号),(丰)[2020]019号),挂牌,2020/4/15,2020/4/14,京土整储挂(丰)[2020]019号,17831.971平方米,北京市丰台区南苑乡分钟寺村L-39地块R2二类居住用地,70年,等于2.8,,,,城镇住宅用地,,城镇住宅用地,17831.9710,万元/公顷,59200万元,1103520BA0001,295600万元,1500万元,2020年05月06土09时00分,2020年05月19土15时00分,,,,,,北京市土地交易市场,2020年05月18土15时00分,2020年05月18土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-55595197,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=fb4a5c68-4cb4-4e29-b3db-a7f8de2fbf96&sitePath=,82ec1eb194087f4d79e3dd68dd83523d,2020-04-22 16:40:09
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂(丰)[2020]019号),(丰)[2020]019号),挂牌,2020/4/15,2020/4/14,京土整储挂(丰)[2020]020号,29750.725平方米,北京市丰台区南苑乡分钟寺村L-41地块R2二类居住用地,70年,等于2.8,,,,城镇住宅用地,,城镇住宅用地,29750.7250,万元/公顷,95000万元,1103520BA0001,474400万元,2400万元,2020年05月06土09时00分,2020年05月19土15时00分,,,,,,北京市土地交易市场,2020年05月18土15时00分,2020年05月18土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-55595197,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=fb4a5c68-4cb4-4e29-b3db-a7f8de2fbf96&sitePath=,82ec1eb194087f4d79e3dd68dd83523d,2020-04-22 16:40:09
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂（房）[2020]018号),(京土整储挂（房）[2020]018号),挂牌,2020/4/13,2020/4/7,京土整储挂（房）[2020]018号,87651.29平方米,北京市房山区拱辰街道办事处FS00-LX05-0046、0056地块R2二类居住用地,70年,等于1.6,,,,城镇住宅用地,,城镇住宅用地,87651.29,万元/公顷,41000万元,1101419BA0011|1103219BA0009,201600万元,1000万元,2020年05月06土09时00分,2020年05月19土15时00分,,,,,,北京市土地交易市场,2020年05月18土15时00分,2020年05月18土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-55595209,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=ad1dea02-8e7b-467e-9ed9-59b4dcbe4bdf&sitePath=,517abd88053451733d182a88247e1db1,2020-04-22 16:40:13
北京市,平谷区,北京市规划和自然资源委员会平谷分局国有土地使用权招标出让公告(京土棚改招（平）[2020]001号),(京土棚改招（平）[2020]001号),招标,2020/3/31,2020/3/31,PGOO-0010-0003、06、平谷区向阳南街甲1号地块及PGOO-0005-6032、33地块,35468.477平方米,北京市平谷区府前街,70年,大于或等于1.8并且小于或等于2.5,,,,城镇住宅用地,,城镇住宅用地,35468.4770,万元/公顷,500万元,现状土地条件：,,,,,,,,,,北京市土地交易市场平谷区分市场107室,,,,北京市土地交易市场平谷区分市场,,,010-69961535,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=f40dff86-7da7-4ffd-b076-15759a66cd36&sitePath=,cec1bce19c6b4309547733396f65890e,2020-04-22 16:40:20
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂(朝)[2020]015号),(朝)[2020]015号),挂牌,2020/3/30,2020/3/27,京土整储挂(朝)[2020]015号,20188.58平方米,北京市朝阳区东坝乡东风村1104-613地块R2二类居住用地、1104-614地块A33基础教育用地,70年,等于2.4,,,,城镇住宅用地,,城镇住宅用地,4000,万元/公顷,41100万元,1104119BA0053,205500万元,1100万元,2020年04月29土09时00分,2020年05月15土15时00分,,,,,,北京市土地交易市场,2020年05月14土15时00分,2020年05月14土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-55595209,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=633f559e-1f64-4448-96b5-728bc2626871&sitePath=,35a302abfcfe4179abed6cdf34fd41fd,2020-04-22 16:40:23
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂(朝)[2020]015号),(朝)[2020]015号),挂牌,2020/3/30,2020/3/27,京土整储挂(朝)[2020]016号,31673.24平方米,北京市朝阳区东坝乡东风村1104-612地块F1住宅混合公建用地,70年,等于3,,,,城镇住宅用地,,城镇住宅用地,31673.24,万元/公顷,76500万元,1104119BA0053,382200万元,1900万元,2020年04月29土09时00分,2020年05月15土15时00分,,,,,,北京市土地交易市场,2020年05月14土15时00分,2020年05月14土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-55595209,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=633f559e-1f64-4448-96b5-728bc2626871&sitePath=,35a302abfcfe4179abed6cdf34fd41fd,2020-04-22 16:40:23
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂(朝)[2020]015号),(朝)[2020]015号),挂牌,2020/3/30,2020/3/27,京土整储挂（兴）[2020]017号,76997.052平方米,北京市大兴区采育镇01-0129地块R2二类居住用地、01-0115地块R53托幼用地,70年,等于1.03,,,,城镇住宅用地,,城镇住宅用地,5900,万元/公顷,19800万元,1100419BC0007,98500万元,500万元,2020年04月29土09时00分,2020年05月15土15时00分,,,,,,北京市土地交易市场,2020年05月14土15时00分,2020年05月14土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-55595209,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=633f559e-1f64-4448-96b5-728bc2626871&sitePath=,35a302abfcfe4179abed6cdf34fd41fd,2020-04-22 16:40:23
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂(丰)[2020]012号),(丰)[2020]012号),挂牌,2020/3/27,2020/3/26,京土整储挂(丰)[2020]012号,38370.353平方米,北京市丰台区南苑乡分钟寺村L-24、L-26地块R2二类居住用地,70年,等于3,,,,城镇住宅用地,,城镇住宅用地,38370.3530,万元/公顷,114400万元,1105420BA0003,571900万元,2900万元,2020年04月23土09时00分,2020年05月09土15时00分,,,,,,北京市土地交易市场,2020年05月08土15时00分,2020年05月08土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-55595197,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=bab64ee3-fc31-4389-aed6-67ef28ed5205&sitePath=,2d2975c27c7f97c5258b15f2131a47e4,2020-04-22 16:40:28
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂(丰)[2020]012号),(丰)[2020]012号),挂牌,2020/3/27,2020/3/26,京土整储挂(顺)[2020]013号,87328.39平方米,北京市顺义区顺义新城第13街区SY00-0013-6028等地块二类居住用地、托幼用地、文化活动用地和综合性商业金融服务业用地,70年,等于1.55,,,,城镇住宅用地,,城镇住宅用地,7951.89,万元/公顷,48200万元,1103320BA0001,241000万元,1200万元,2020年04月23土09时00分,2020年05月09土15时00分,,,,,,北京市土地交易市场,2020年05月08土15时00分,2020年05月08土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-55595197,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=bab64ee3-fc31-4389-aed6-67ef28ed5205&sitePath=,2d2975c27c7f97c5258b15f2131a47e4,2020-04-22 16:40:28
