城市,行政区,供应公告标题,公告编号,公告类型,发布时间,网上创建时间,宗地编号：,宗地面积：,宗地坐落：,出让年限：,容积率：,建筑密度(%)：,绿化率(%)：,建筑限高(米)：,土地用途：,投资强度：,保证金：,起始价：,加价幅度：,挂牌开始时间：,挂牌截止时间：,提交书面申请地,缴纳竞买保证金截止时间,确认竞买资格时间,拍卖开始时间,拍卖挂牌进行地点,联系地址,联系人,联系电话,开户单位,开户银行,银行账号,内容链接,主键MD5,爬取时间
北京市,北京市本级,北京市国土资源局国有土地使用权招标出让公告(京土整储招（丰）告字[201]001号),(京土整储招（丰）告字[201]001号),招标,2010/12/31,2010/12/31,京土整储招（丰）[2011]001号,7.41平方米,丰台区花乡四合庄1516-10地块C2商业金融项目用地,40年,等于4,,,,商务金融用地,,4400万元,,备注：,,,北京市土地交易市场,,,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=90a9b118-bc97-489f-902a-69d32407700a&sitePath=,3fd7aac0c4a2e4f4738f8dda8e3e1df7,2020-04-24 10:35:34
北京市,北京市本级,北京市国土资源局国有土地使用权招标出让公告(京土整储招（丰）告字[201]001号),(京土整储招（丰）告字[201]001号),招标,2010/12/31,2010/12/31,京土整储招（丰）[2011]002号,5.94平方米,北京市丰台区花乡四合庄1516-19地块C2商业金融项目用地,40年,等于4,,,,商务金融用地,,3500万元,,备注：,,,北京市土地交易市场,,,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=90a9b118-bc97-489f-902a-69d32407700a&sitePath=,3fd7aac0c4a2e4f4738f8dda8e3e1df7,2020-04-24 10:35:34
北京市,北京市本级,北京市国土资源局国有土地使用权招标出让公告(京土整储招（丰）告字[201]001号),(京土整储招（丰）告字[201]001号),招标,2010/12/31,2010/12/31,京土整储招（丰）[2011]003号,5.45平方米,丰台区花乡四合庄1516-16-18地块C2商业金融项目用地,40年,4-7,,,,商务金融用地,,4000万元,,备注：,,,北京市土地交易市场,,,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=90a9b118-bc97-489f-902a-69d32407700a&sitePath=,3fd7aac0c4a2e4f4738f8dda8e3e1df7,2020-04-24 10:35:34
北京市,北京市本级,北京市国土资源局昌平分局国有土地使用权挂牌出让公告(京土整储挂（昌）工业告字[2010]010号),(京土整储挂（昌）工业告字[2010]010号),挂牌,2010/12/27,2010/12/27,京土整储挂（昌）工业【2010】010号,24573.333平方米,百关村科技园昌平园东区一期0303-74-4地块工业项目用地,50年,等于1.5,,,,工业用地,,350万元,3461.12万元,,2011年01月13土09时00分,2011年01月27土15时00分,北京市土地交易市场昌平分市场,2011年01月27土15时30分,2011年01月27土15时30分,,北京市土地交易市场昌平分市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=7e191bb5-0084-4992-be9d-f66717db5c67&sitePath=,4340df68fa2e4e9b47fb2b517bb3ed76,2020-04-24 10:35:50
北京市,北京市本级,北京市国土资源局昌平分局国有土地使用权挂牌出让公告(京土整储挂（昌）工业告字[2010]010号),(京土整储挂（昌）工业告字[2010]010号),挂牌,2010/12/27,2010/12/27,京土整储挂（昌）工业【2010】011号,28122.801平方米,百关村科技园昌平园东区一期0303-74-5地块工业项目用地,50年,等于1.5,,,,工业用地,,400万元,3844.21万元,,2011年01月13土09时00分,2011年01月27土15时00分,北京市土地交易市场昌平分市场,2011年01月27土15时30分,2011年01月27土15时30分,,北京市土地交易市场昌平分市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=7e191bb5-0084-4992-be9d-f66717db5c67&sitePath=,4340df68fa2e4e9b47fb2b517bb3ed76,2020-04-24 10:35:50
北京市,北京市本级,北京市国土资源局昌平分局国有土地使用权挂牌出让公告(京土整储挂（昌）工业告字[2010]010号),(京土整储挂（昌）工业告字[2010]010号),挂牌,2010/12/27,2010/12/27,京土整储挂（昌）工业【2010】012号,20952.649平方米,百关村科技园昌平园西区三期0208-72-2地块工业项目用地,50年,等于1.5,,,,工业用地,,120万元,1145.6万元,,2011年01月13土09时00分,2011年01月27土15时00分,北京市土地交易市场昌平分市场,2011年01月27土15时30分,2011年01月27土15时30分,,北京市土地交易市场昌平分市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=7e191bb5-0084-4992-be9d-f66717db5c67&sitePath=,4340df68fa2e4e9b47fb2b517bb3ed76,2020-04-24 10:35:50
北京市,北京市本级,北京市国土资源局国有土地使用权挂牌出让公告(京土整储挂（通）工业告字[2010]012号),(京土整储挂（通）工业告字[2010]012号),挂牌,2010/12/21,2010/12/21,京土整储挂（通）工业【2010】012号,16203.44平方米,通州区马驹桥B-02-A（部分）,50年,等于2,,,,工业用地,,268.578万元,1261.1979万元,,2011年01月10土09时00分,2011年01月24土15时00分,北京市土地交易市场,2011年01月24土15时00分,2011年01月24土15时00分,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=da47f513-9281-44fc-802e-19ad183b2e66&sitePath=,459f69b7e9d242b63c731997e7f6f5e5,2020-04-24 10:36:02
北京市,北京市本级,北京市国土资源局国有土地使用权挂牌出让公告(京土整储挂（通）工业告字[2010]012号),(京土整储挂（通）工业告字[2010]012号),挂牌,2010/12/21,2010/12/21,京土整储挂（通）工业【2010】013号,80246.801平方米,通州区马驹桥镇物流用地,50年,等于1.3,,,,工业用地,,943万元,4713.524万元,,2011年01月10土09时00分,2011年01月24土15时00分,北京市土地交易市场,2011年01月24土15时00分,2011年01月24土15时00分,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=da47f513-9281-44fc-802e-19ad183b2e66&sitePath=,459f69b7e9d242b63c731997e7f6f5e5,2020-04-24 10:36:02
北京市,北京市本级,北京市国土资源局国有土地使用权挂牌出让公告(京土整储挂（通）工业告字[2010]012号),(京土整储挂（通）工业告字[2010]012号),挂牌,2010/12/21,2010/12/21,京土整储挂（通）工业【2010】014号,16530.886平方米,北京通州区物流基地B-02-D地块、B-01部分地块仓储项目,50年,等于1.8,,,,工业用地,,161万元,800.81万元,,2011年01月10土09时00分,2011年01月24土15时00分,北京市土地交易市场,2011年01月24土15时00分,2011年01月24土15时00分,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=da47f513-9281-44fc-802e-19ad183b2e66&sitePath=,459f69b7e9d242b63c731997e7f6f5e5,2020-04-24 10:36:02
北京市,北京市本级,北京市国土资源局国有土地使用权挂牌出让公告(京土整储挂（通）工业告字[2010]012号),(京土整储挂（通）工业告字[2010]012号),挂牌,2010/12/21,2010/12/21,京土整储挂（通）工业【2010】015号,47073.749平方米,北京通州区物流基地E-17（西部分）地块仓储项目,50年,等于1.5,,,,工业用地,,590万元,2945.873万元,,2011年01月10土09时00分,2011年01月24土15时00分,北京市土地交易市场,2011年01月24土15时00分,2011年01月24土15时00分,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=da47f513-9281-44fc-802e-19ad183b2e66&sitePath=,459f69b7e9d242b63c731997e7f6f5e5,2020-04-24 10:36:02
北京市,北京市本级,北京市国土资源局国有土地使用权挂牌出让公告(京土整储挂（通）工业告字[2010]012号),(京土整储挂（通）工业告字[2010]012号),挂牌,2010/12/21,2010/12/21,京土整储挂（通）工业【2010】016号,74288.559平方米,通州区马驹桥镇物流基地E-14（南部分）地块、E-13（南部分）地块仓储项目,50年,等于1.3,,,,工业用地,,835万元,4172.0303万元,,2011年01月10土09时00分,2011年01月24土15时00分,北京市土地交易市场,2011年01月24土15时00分,2011年01月24土15时00分,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=da47f513-9281-44fc-802e-19ad183b2e66&sitePath=,459f69b7e9d242b63c731997e7f6f5e5,2020-04-24 10:36:02
北京市,北京市本级,北京市国土资源局国有土地使用权挂牌出让公告(京土整储挂（兴)告字[2010]173号),(京土整储挂（兴)告字[2010]173号),挂牌,2010/12/21,2010/12/21,京土整储挂（怀）[2010]175号,274653平方米,北京市怀柔区杨宋镇文化娱乐、商业金融及居住项目用地（配建租赁房）,70年,等于1.95,,,,其他普通商品住房用地,,10000万元,49300万元,,2011年01月10土09时00分,2011年01月24土15时00分,北京市土地交易市场,2011年01月24土15时00分,2011年01月24土15时00分,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=85a93094-0c35-4c38-9b6d-c9c5da8ae135&sitePath=,2449bf8b36929c301ddc37db027001fc,2020-04-24 10:36:07
北京市,北京市本级,北京市国土资源局国有土地使用权挂牌出让公告(京土整储挂（兴)告字[2010]173号),(京土整储挂（兴)告字[2010]173号),挂牌,2010/12/21,2010/12/21,京土整储挂（兴）[2010]173号,87147平方米,北京市大兴区瀛海镇镇区改造土地一级开发项目（二期）,70年,等于2.52,,,,其他普通商品住房用地,,11000万元,53700万元,,2011年01月10土09时00分,2011年01月24土15时00分,北京市土地交易市场,2011年01月24土15时00分,2011年01月24土15时00分,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=85a93094-0c35-4c38-9b6d-c9c5da8ae135&sitePath=,2449bf8b36929c301ddc37db027001fc,2020-04-24 10:36:07
北京市,北京市本级,北京市国土资源局国有土地使用权挂牌出让公告(京土整储挂（兴)告字[2010]173号),(京土整储挂（兴)告字[2010]173号),挂牌,2010/12/21,2010/12/21,京土整储挂（兴）[2010]174号,15805平方米,北京市大兴区黄村镇大庄三角地居住项目,70年,等于1.2,,,,其他普通商品住房用地,,1500万元,5100万元,,2011年01月10土09时00分,2011年01月24土15时00分,北京市土地交易市场,2011年01月24土15时00分,2011年01月24土15时00分,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=85a93094-0c35-4c38-9b6d-c9c5da8ae135&sitePath=,2449bf8b36929c301ddc37db027001fc,2020-04-24 10:36:07
北京市,北京市本级,北京市国土资源局平谷分局国有土地使用权挂牌出让公告(京土整储挂（平）工业告字[2010]05号),(京土整储挂（平）工业告字[2010]05号),挂牌,2010/12/13,2010/12/13,京土整储挂（平）工业[2010]05,19732.063平方米,北京市平谷区兴谷开发区M2-9区1号工业用地地块,50年,0.8-1.2,,,,工业用地,,300万元,1384.424万元,,2010年12月30土09时00分,2011年01月13土15时00分,北京市土地交易市场平谷分市场,2011年01月13土15时00分,2011年01月13土15时00分,,北京市土地交易市场平谷分市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=8cabe4cc-7134-4565-a2e7-d31363629751&sitePath=,be1dc8dfe25c90240f881093737b0429,2020-04-24 10:37:06
北京市,北京市本级,北京市国土资源局平谷分局国有土地使用权挂牌出让公告(京土整储挂（平）工业告字[2010]05号),(京土整储挂（平）工业告字[2010]05号),挂牌,2010/12/13,2010/12/13,京土整储挂（平）工业[2010]06,16399.56平方米,北京市平谷区兴谷开发区M2-1区3号工业用地地块,50年,0.8-1.2,,,,工业用地,,300万元,1375.862万元,,2010年12月30土09时00分,2011年01月13土15时00分,北京市土地交易市场平谷分市场,2011年01月13土15时00分,2011年01月13土15时00分,,北京市土地交易市场平谷分市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=8cabe4cc-7134-4565-a2e7-d31363629751&sitePath=,be1dc8dfe25c90240f881093737b0429,2020-04-24 10:37:06
