文件标题,文章来源,更新时间,宗地编号,宗地坐落,面积,土地用途,出让年限,容积率,绿地率,建筑密度,建筑限高,竞买保证金,起始价,增价幅度,其他说明,爬取地址url,唯一标识,
（拉公共柳梧国土挂〔2019〕1号）拉萨市国有建设用地使用权公开出让公告,拉萨市公共资源交易中心,2019/6/4 11:22,|2018-（柳）12号|2018-（柳）13号,|柳梧新区中组团云慧路以南、栖慧大道以东|柳梧新区中组团通慧路以东、栖创路以北,,|工业用地|科研 用地,|50年|50年,|不小于1.0|不大于1.2,|不大于20%|不小于35%,|不小于30%|不大于35%,|不高于24米|不高于20米,,|19120660元|2321600元,|50万元|50万元,,2020/5/6 18:13,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55315,54b97917af78091cab21ca4d5a2230ed
曲水县国有建设用地使用权挂牌出让公告（曲公共自然资源挂〔2019〕11号）,拉萨市公共资源交易中心,2019/10/10 16:58,|QSZR2019-11|备注,|聂当乡德吉村境内|,|26666.67,|工业,|50,|不小于1.0,|不大于20%,|不小于30%,,|340,|680.0001,,建筑退让、建筑间距等各项规划指标严格按照曲水县自然资源部门核定的《规划设计条件》执行。,2020/5/6 18:13,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56156,89ad790515bb83c240aa898ef2c98827
拉萨市国有建设用地使用权公开出让公告 （拉公共柳梧国土挂〔2019〕3号）,拉萨市公共资源交易中心,2019/10/16 11:19,|2019-（柳）4号,|滨河大街以北、南环路以南,|40300m2,|公园配套商业用地,|商业40年,|不大于1.75,|不小于75%,|不大于13%,|不高于15米,|65769600元,|131539200元,|50万元,,2020/5/6 18:13,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56187,279bf1451f336aa79fc87e12523d892b
曲水县国有建设用地使用权挂牌出让公告（曲公共自然资源挂〔2019〕12号）,拉萨市公共资源交易中心,2019/11/5 16:38,|QSZR2019-12|备注,|聂当乡德吉村境内|,|542.93,|工业,|50,|不大于1.0,|不低于20%,|不小于60%,,|5,|9.7727,,建筑退让、建筑间距等各项规划指标严格按照曲水县自然资源部门核定的《规划设计条件》执行。,2020/5/6 18:13,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56296,df3bf3145c965792547767e4d8326dc0
曲水县国有建设用地使用权挂牌出让公告（曲公共自然资源挂〔2019〕13号）,拉萨市公共资源交易中心,2019/11/5 16:40,|QSZR2019-13|备注,|聂当乡德吉村境内|,|1694.67,|工业,|50,|不大于1.0,|不低于20%,|不小于60%,,|21,|43.2141,,建筑退让、建筑间距等各项规划指标严格按照曲水县自然资源部门核定的《规划设计条件》执行。,2020/5/6 18:13,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56297,f6564606db45a16deb6657fd0cef1d09
（曲公共自然资源挂〔2019〕14号）曲水县国有建设用地使用权挂牌出让公告 ,拉萨市公共资源交易中心,2019/12/9 16:22,|QSZR2019-14|备注,|聂当乡德吉村境内|,|198154.83,|工业,|50,|不大于1.0,|不低于20%,|不小于60%,,|2526,|5052.9482,,建筑退让、建筑间距等各项规划指标严格按照曲水县自然资源部门核定的《规划设计条件》执行。,2020/5/6 18:13,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56473,345e83cbb9723b4b42ce9b1191728637
（曲公共自然资源挂〔2019〕15号）曲水县国有建设用地使用权出让公告,拉萨市公共资源交易中心,2019/12/13 11:53,|QSZR2019-15|备注,|曲水镇曲水村境内|,|57439.53,|二级住宅,|70,|不大于1.2,|不小于30%,|不大于30%,,|1447.4762,|2067.8231,,建筑退让、建筑间距等各项规划指标严格按照曲水县自然资源部门核定的《规划设计条件》执行。,2020/5/6 18:13,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56501,5b577f48fa63020dc40a6ca09ba52350
拉萨市国有建设用地使用权挂牌出让公告拉公共经开挂〔2019〕4号,拉萨市公共资源交易中心,2020/1/15 16:08,|JKQ2019—12|JKQ2019—13,|拉萨经济技术开发区A林琼岗支路以南、拉萨河河堤以西|拉萨经济技术开发区B区拉青西路以西、乃岗路以北,|36800.86|12496.02,|一类工业|二类工业,|50|50,|不小于1.0|不小于1.0,|不小于20%|不小于20%,|不小于30%|不小于30%,,|639|200,|1597.1573|499.8404,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56644,18aec339acb32a609d71094d19027a06
拉文创管挂〔2020〕1号西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2020/1/20 16:08,|2019-2CT07-08|2019-3CT04-101,|宗赞路以西|文成大道以东、宗赞路以西,|4745（其中规划绿地面积167平方米）|15344,|旅游商业用地|商业设施用地,|商业40年|商业40年,|不大于1.5|不大于1.5,|不小于35%|不小于35%,|不大于30%|不大于30%,|不高于25米|不高于25米,|223.9640|1307.3088,|559.9100|3268.2720,,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56663,2ea3d970fc77e5a31623702adc226432
拉萨市国有建设用地使用权挂牌出让公告（拉公共国土挂〔2019〕3号）,拉萨市公共资源交易中心,2019/6/20 16:28,|LSGT2018-38|备 注,|城关区加荣路以北，藏热路以西。|1、建筑退让、建筑间距等各项规划指标严格按照市自然资源部门核定的《规划设计条件》执行。,|107812.4平方米（其中地块一建设用地面积79363.95平方米含规划道路面积6021平方米；地块二建设用地面积28448.45平方米，含规划道路面积6614平方米），实际出让面积为95177.4平方米。,|二类居住用地,|70年,|不大于1.8,|不小于35%,|不大于30%,|不高于35米,|342000000,|427251348.6,|100,,2020/5/6 18:14,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55450,0bf03a9f2925303c5d3d1a2900126409
