文件标题,来源,更新时间,公告时间,公告媒体,公告号,出让方式,成交时间,成交地点,地块编号,地块位置,土地用途,挂牌起始价,竞得单位,成交金额,爬取地址url,唯一标识,
2018-（柳）16号国有建设用地使用权挂牌出让结果公示（拉公共柳梧国土挂﹝2019﹞2号）,,文章来自：拉萨市公共资源交易中心,|2019年8月12日,|拉萨市公共资源交易信息网,|拉公共柳梧国土挂﹝2019﹞2号）,|挂牌,|2019年9月18日,|拉萨市公共资源交易中心,|2018-（柳）16号,|柳梧新区北组团北京大道以东、经四路以北,|商住混合用地,,,|11807650元,2020-05-06 14:48:24,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56411,221c6a70031fbb3eb178226dd75dfd32,
JKQ2019-5号国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2019〕1号),,文章来自：拉萨市公共资源交易中心,|2019年4月2日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2019〕1号,| 挂牌,| 2019年5月15日,|拉萨市公共资源交易中心,| JKQ2019-5,|拉萨综合保税区纬一路以北、通勤路以南地块内,|物流仓储,|1529.4086,|西藏顶立建设工程有限公司,|1530,2020-05-06 14:48:24,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55211,82ee991ca5450819083d839138b2d2a0,
JKQ2019-6号国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2019〕2号),,文章来自：拉萨市公共资源交易中心,|2019年7月19日,|拉萨市公共资源交易信息网,|拉公共经开挂〔2019〕2号,|挂牌,|2019年8月28日,|拉萨市公共资源交易中心,|JKQ2019-6,|拉萨经济技术开发区B区柳东路以东、B区北环路以北地块内,|一类工业,|1104.9911万元,|西藏德誉实业有限公司,|1108,2020-05-06 14:48:25,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56077,aba21068fa2365329e310827e46b95c3,
JKQ2019-7号国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2019〕2号),,文章来自：拉萨市公共资源交易中心,|2019年7月19日,|拉萨市公共资源交易信息网,|拉公共经开挂〔2019〕2号,|挂牌,|2019年8月28日,|拉萨市公共资源交易中心,|JKQ2019-7,|拉萨经济技术开发区B区拉青西一路以东、B区南环路以北地块内,|二类工业,|906.9859万元,|西藏亿百佳电力集团有限公司,|907,2020-05-06 14:48:26,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56078,b590f05bfecd925383cb7b50b74ce646,
JKQ2019-8号国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2019〕2号),,文章来自：拉萨市公共资源交易中心,|2019年7月19日,|拉萨市公共资源交易信息网,|拉公共经开挂〔2019〕2号,|挂牌,|2019年8月28日,|拉萨市公共资源交易中心,|JKQ2019-8,|拉萨经济技术开发区B区拉青西一路以东、园区南路以北、B区南环路以南地块内,|二类工业,|2035.4777万元,|未按规定时间报名流拍,|,2020-05-06 14:48:26,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56079,987237edeadd0d85e3050a8e6c835e84,
JKQ2019-9号国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2019〕2号),,文章来自：拉萨市公共资源交易中心,|2019年7月19日,|拉萨市公共资源交易信息网,|拉公共经开挂〔2019〕2号,|挂牌,|2019年8月28日,|拉萨市公共资源交易中心,|JKQ2019-9,|拉萨经济技术开发区B区拉青路以西、园区南路以北、B区南环路以南地块内,|二类工业,|2036.7974万元,|西藏藏建科技股份有限公司,|2037,2020-05-06 14:48:27,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56080,32a7b96d2ba5573bbc484c064b2e2740,
JKQ2019-8号国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2019〕3号),,文章来自：拉萨市公共资源交易中心,|2019年9月20日,|拉萨市公共资源交易信息网,|拉公共经开挂〔2019〕3号,|挂牌,|2019年10月30日,|拉萨市公共资源交易中心,|JKQ2019-8,|拉萨经济技术开发区B区拉青西一路以东、园区南路以北、南环路以南。,|二类工业,|2035.4777,|西藏涛扬新型建材科技有限公司,|2036,2020-05-06 14:48:27,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56274,2d55388625c3f29d0213cf288022f388,
LSZR2019—4号国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2019〕4号),,文章来自：拉萨市公共资源交易中心,|2019年9月27日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2019〕4号,|挂牌,|2019年11月5日,|拉萨市自然资源局,|LSZR2019-4,|宗地一：城关区北绕城路以北、曲米路以西；宗地二：城关区北绕城路以南、曲米路以东。,|居住用地,|138074600,|拉萨城发房地产开发有限公司,|149074600,2020-05-06 14:48:28,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56358,9e2ea7c679f3cc96a458767ff7f9c783,
LSZR2019—5号国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2019〕4号),,文章来自：拉萨市公共资源交易中心,|2019年9月27日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2019〕4号,|挂牌,|2019年11月5日,|拉萨市自然资源局,|LSZR2019-5,|城关区纳金路以北、东四路两侧。,|居住用地,|205695990,|拉萨城发房地产开发有限公司,|215695990,2020-05-06 14:48:29,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56359,7daf5e6f50b4f4c8f04f6aea9a821bdd,
LSZR2019—6号国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2019〕5号),,文章来自：拉萨市公共资源交易中心,|2019年10月8日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2019〕5号,|挂牌,|2019年11月6日,|拉萨市自然资源局,|LSZR2019-6,|拉萨市滨河路以南五号闸以西。,|商业用地,|189140586,|拉萨市城市房地产开发有限公司,|189140586,2020-05-06 14:48:29,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56360,d31609d857d0b793067ef21d38a0557f,
国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2019〕1号),,文章来自：拉萨市公共资源交易中心,|2019年4月3日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2019〕1号,|挂牌,|2019年5月25日,|拉萨市自然资源局,|LSGT2018-39,|城关区金珠西路以南，当巴西路以西。,|居住用地,|33916800,|拉萨市城市房地产开发有限公司,|33916800,2020-05-06 14:48:31,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55316,e785b490e7097b32c15780725e9a2752,
国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2019〕1号),,文章来自：拉萨市公共资源交易中心,|2019年4月3日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2019〕1号,|挂牌,|2019年5月25日,|拉萨市自然资源局,|LSGT2018-40,|城关区金珠西路以南，滨河北路以北。,|居住用地,|12094120,|拉萨市城市房地产开发有限公司,|12094120,2020-05-06 14:48:31,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55316,e785b490e7097b32c15780725e9a2752,
国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2019〕1号),,文章来自：拉萨市公共资源交易中心,|2019年4月3日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2019〕1号,|挂牌,|2019年5月25日,|拉萨市自然资源局,|LSGT2018-41,|城关区金珠西路以南，当雄路以西。,|居住用地,|71160640,|拉萨市城市房地产开发有限公司,|71160640,2020-05-06 14:48:31,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55316,e785b490e7097b32c15780725e9a2752,
国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2019〕1号),,文章来自：拉萨市公共资源交易中心,|2019年4月3日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2019〕1号,|挂牌,|2019年5月25日,|拉萨市自然资源局,|LSGT2019-1,|城关区贡布堂路以南，江冲路以西。,|居住用地,|30401520,|昌都市投资有限公司,|37401520,2020-05-06 14:48:31,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55316,e785b490e7097b32c15780725e9a2752,
（拉文创管挂〔2019〕1号）2018-5国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2019年2月22日,|拉萨市公共资源交易信息网,|拉文创管挂〔2019〕1号,|挂牌,|2019年4月22日,|西藏文化旅游创意园区管委会,|2018-5|2018-5国有建设用地使用权挂牌出让结果公示| （拉文创管挂〔2019〕1号）,|云天路以南、林卡路以东，(CT04-116)||,|旅游休闲用地,,,|2582.06442万元,2020-05-06 14:48:31,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55489,c752612874dee2cf042edb5636302250,
（拉文创管挂〔2019〕2号）2018-2国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2019年3月15日,|拉萨市公共资源交易信息网,|拉文创管挂〔2019〕2号,|挂牌,|2019年5月14日,|西藏文化旅游创意园区管委会,|2018-2|2018-2国有建设用地使用权挂牌出让结果公示|（拉文创管挂〔2019〕2号）,|望圣路以东、宗赞路以西			CT07-32,|旅游商业用地,,,|3159.8300万元,2020-05-06 14:48:32,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55490,8ea8db29d4add7d12cbfedbed1ac6df1,
（拉文创管挂〔2019〕3号）2019-1国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2019年3月15日,|拉萨市公共资源交易信息网,|拉文创管挂〔2019〕3号,|挂牌,|2019年5月27日,|西藏文化旅游创意园区管委会,|2019-1|2019-1国有建设用地使用权挂牌出让结果公示|（拉文创管挂〔2019〕3号）,|宝瓶路以西、文成大道以东、云天路以南CT04-34,|商业设施用地,,,|1036.95万元,2020-05-06 14:48:33,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55491,ab54ea672ac74b71a375b12612ff0235,
（拉文创管挂〔2019〕4号）2018-13国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2019年4月26日,|拉萨市公共资源交易信息网,|拉文创管挂〔2019〕4号,|挂牌,|2019年6月24日,|西藏文化旅游创意园区管委会,|2018-13|2018-13国有建设用地使用权挂牌出让结果公示|（拉文创管挂〔2019〕4号）,|静思路以南、慧谷大道以西CT05-04,|旅游商业用地,,,|2769.61万元,2020-05-06 14:48:33,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55492,d647d02d69067fa6d3f3f757169da1b2,
