文件标题,发布时间,地块编号,具体位置,出让面积,容积率,用途,供地方式,使用年限,竞得(人),成交价格,成交日期,爬取地址url,唯一标识,
津蓟工（挂）2019-014号,2019-11-14,津蓟工（挂）2019-014号,天津市蓟州区仓园街南侧、富裕路西侧,16761.7平方米,≥0.8,工业用地,挂牌,50年,中原（天津）包装制品有限公司,640万元,2019-11-14,2020-05-08 14:36:53,http://218.69.100.10/news.aspx?id=1018680,c9f1c1f74b9850408440135ba8e5292d,
津南（挂）2019-10号,2019-09-12,津南（挂）2019-10号,津南区八里台镇,,,住宅用地,挂牌,40年,德州平德置业有限公司,56000万元,2019-09-12,2020-05-08 14:36:55,http://218.69.100.10/news.aspx?id=1015447,6a159b1757f60eaa8e9bee795c6a8f8b,
津南（挂）2019-10号,2019-09-12,津南（挂）2019-10号,津南区八里台镇,,,住宅用地,挂牌,40年,德州平德置业有限公司,56000万元,2019-09-12,2020-05-08 14:36:58,http://218.69.100.10/news.aspx?id=1015447,6a159b1757f60eaa8e9bee795c6a8f8b,
津南（挂）2019-13号,2019-09-12,津南（挂）2019-13号,津南区八里台镇 ,18110.5 平方米,,商服用地,挂牌,40年,天津星城置业有限公司,5500万元,2019-09-12,2020-05-08 14:36:59,http://218.69.100.10/news.aspx?id=1015449,fa40f542cc0ac32eae2c3ef8c0b77c36,
津南（挂）2019-12号,2019-09-12,津南（挂）2019-12号,津南区八里台镇 ,8953.8平方米,,商服用地,挂牌,40年,天津星城置业有限公司,2700万元,2019-09-12,2020-05-08 14:37:02,http://218.69.100.10/news.aspx?id=1015450,0a26802ab58b175d57594ee4f3a5563b,
津辰风（挂）G2019-008号,2019-09-12,津辰风（挂）G2019-008号,天津市北辰区天津高端装备制造产业园,66667.4方米,,工业用地,挂牌,50年,天津市飞龙砼外加剂有限公司,5104万元,2019-09-12,2020-05-08 14:37:04,http://218.69.100.10/news.aspx?id=1015452,22e8875206f56aa99fd2278ad500a261,
津宝（挂）2019-021号,2019-09-25,津宝（挂）2019-021号,宝坻区安成街与望都路交口,34537.5方米,大于1.0且不大于1.8,经营性用地,挂牌,城镇住宅70年、商服40年,天津中宝冠城置业发展有限公司,32000万元,2019-09-25,2020-05-08 14:37:06,http://218.69.100.10/news.aspx?id=1016052,b8611ebdeefaa5a1e8c4cfd45454d493,
津宝（挂）2019-022号,2019-09-25,津宝（挂）2019-022号,宝坻区渔阳路与望都路交口,32393.4方米,大于1.0且不大于1.8,经营性用地,挂牌,城镇住宅70年、商服40年,天津安田置地发展有限公司,32000万元,2019-09-25,2020-05-08 14:37:09,http://218.69.100.10/news.aspx?id=1016053,3bb69f262bdf795fb358757e7ffd097d,
津丽（挂）2019-10号,2019-09-26,津丽（挂）2019-10号,东丽区东丽湖星灿道以南，东丽湖路以西,238768方米,≤1.2,经营性用地,挂牌,城镇住宅70年，商服40年、教育50年,中建信和地产有限公司,145500万元,2019-09-26,2020-05-08 14:37:11,http://218.69.100.10/news.aspx?id=1016261,73011c7d1a6fa9f7c5d355300642e880,
津宁（挂）G2019-12号,2019-10-10,津宁（挂）G2019-12号,天津市宁河区潘庄工业区,43908.5方米,≥1.0,工业用地,挂牌,50年,鼎膳（天津）食品贸易有限责任公司,1900万元,2019-10-10,2020-05-08 14:37:14,http://218.69.100.10/news.aspx?id=1016995,6da0e76e9f3740a742209f19a38262e5,
