年度,住房用地(含保障性住房用地商品住房用地)供应计划面积(公顷),商服用地供应计划面积(公顷),工矿仓储用地供应计划面积(公顷),基础设施及公益事业等划拨用地供应计划面积(公顷),爬取地址url,唯一标识,
2017,840,200,1250,1500,2020/5/8 15:07,http://218.69.100.10/news.aspx?id=300470,d2c2c172e455061e0ea8f9e2729e8cbb
2009,,,,,2020/5/8 15:07,http://218.69.100.10/news.aspx?id=300446,6a60656971b96a6a2f3c35066cc27de3
2008,1106,,,,2020/5/8 15:07,http://218.69.100.10/news.aspx?id=300443,c08e66caddbc61d5d04d81414777e7f2
2008,,,,,2020/5/8 15:07,http://218.69.100.10/news.aspx?id=300442,2f3d4bb062c71e9480aa4c6c06892c49
2008,1106,,,,2020/5/8 15:07,http://218.69.100.10/news.aspx?id=300444,ebb093affaffb1d649bc4615edaf6a7d
2008,960,440,,,2020/5/8 15:07,http://218.69.100.10/news.aspx?id=300445,a938b89a8ed5a7e17b8e83831bdc6afa
2009,,,,,2020/5/8 15:07,http://218.69.100.10/news.aspx?id=300447,650b8937b41c43974795c40a5e63e428
2009,,,,,2020/5/8 15:07,http://218.69.100.10/news.aspx?id=300449,fa92f24173762d067d36fca52db2f2e6
2009,,,,,2020/5/8 15:07,http://218.69.100.10/news.aspx?id=300448,b2a9e2b91316d08d2617617ca6b297fe
2010,572,76.8,,,2020/5/8 15:07,http://218.69.100.10/news.aspx?id=300451,1351b67a38b010b6c78bf783a6bc3b12
2010,765,235,,,2020/5/8 15:07,http://218.69.100.10/news.aspx?id=300450,958a663ca56ce6d359189a698eb28adb
2012,2165,812,3500,,2020/5/8 15:07,http://218.69.100.10/news.aspx?id=300452,f792c7fd5a1c2320529f26298b66fbf7
2012,,,,,2020/5/8 15:07,http://218.69.100.10/news.aspx?id=300454,6ccf93159f1e2c8d3ee1c4b75405fb89
2013,15.08万,,,,2020/5/8 15:07,http://218.69.100.10/news.aspx?id=300456,b219f0bf79120580521274c65d11cab6
2013,1438,,,,2020/5/8 15:07,http://218.69.100.10/news.aspx?id=300457,082b6f31ec9b73d5606464c1dcce6763
2013,,,,,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=300458,9e478aa334e9fffd6cae11c60c073a2a
2014,1336,600,3600,,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=300455,3b8a0798d562051cba11241f2a027d68
2014,1096,500,3500,,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=300453,7eaf48fad7c42aeee3e1dc88a94528fe
2014,|1170,|500,|2800,|1130,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=300459,af9ae6607c2536ff9ec8cf45b31296bc
2014,1039,500,2800,1130,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=300460,90a578348a8f48d42f6bff4708685174
2015,|770,|450,|2800,|1090,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=300461,dfd62902ae279aaaf9f79ebef7282965
2016,770,450,2800,1090,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=300462,0b5990adf923efe07e0c62977429b350
2016,|650,|300,|1100,|1300,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=300463,c2a09ff0a7962ca99c839e4fa19ec397
2016,,,,,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=300464,9f5a1b6b6cd3c124c308941b37d5bd24
2016,650,|300,|1100,,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=300465,89cf5428bd2d1b66e567cffb1137d017
2017,|840,|200,|1250,|1500,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=300466,718ed753a54afa964177af7ee442d5ef
2017,102.84,,,,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=300467,f30c6c9cfbe9ae99c462d1a7dd38953a
2017,244.17,,,,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=300468,16d0440d56509e3e61e9c891edea4afd
2017,496.17,,,,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=300469,f0c37e747e3a9b56830246a63f26fe3b
2018,|850,|200,|1150,|1300,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=323512,04ed16a794a2ff47a76bc6b6bc96a16a
2018,,,,,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=323797,cb38bb60e8e80fef627fb8df6c0857d4
2019,,,,,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=1000036,4b299e631d4665375415830acc319edd
2019,,,,,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=1005676,22bc1f2e9b16d21f122cabb47a008b79
2019,,,,,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=1007581,5b1fc072ad0ff3f77ea38f997d7a7a65
2019,900,200,1200,1450,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=1010009,5381fe72a13f40a3e69e6c100ee4310f
2019,,,,,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=1017251,f2ac49e831fa269009d1e395876bff3e
2020,,,,,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=1021814,7014318bdf859e56e4ef6d4bc4f691f8
2020,,,,,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=1021817,ed2ea66cfc835226c38469d4d7c440af
2020,|1050,|150,|1100,|2800,2020/5/8 15:08,http://218.69.100.10/news.aspx?id=1023527,d616047fa42da191f039a2cfac581570
