公告类型,文件标题,时间,来源,正文标题,宗地编号,土地位置,出让面积(m2),绿化用地,道路用地,土地用途,岀让年限,容积率,建筑密度,绿地率,建筑空间,起始价(万元),保证金(万元),竞价幅度(万元),报名时间起止日期,挂牌开始时间,挂牌截止时间,保证金到账截止时间,联系地址,联系人,联系电话,爬取地址url,唯一标识,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-09-11,山西省自然资源厅,,GK2016-17号,示范区晋中开发区灵石路东侧,7320.06平方米（合10.9801亩）,,,科研用地,50年,介于0.7与2.0之间,介于20％与40％之间,不小于35％,尺寸控制在-12米—80米之间,570万元,570万元,10万元,2018年10月8日8时至2018年10月17日10时,2018年10月8日8时,2018年10月19日10时,2018年10月17日10时,晋中开发区土地事务中心（开发区办公楼北603房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201809/t20180911_79257.shtml,76821c78d2e1f3307dbeb26fba2417a8,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-09-12,山西省自然资源厅,,GK2018-19号,示范区晋中开发区广安街北侧、魏榆路西侧,45361.79平方米（合68.0427亩）,,,教育用地,50年,不大于1.0,介于15％与25％之间,不少于40％,尺寸控制在-6米—25米之间,4232万元,4232万元,10万元,2018年10月8日8时至2018年10月17日10时,2018年10月8日8时,2018年10月19日10时,2018年10月17日10时,晋中开发区土地事务中心（开发区办公楼北603室）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201809/t20180912_79258.shtml,fe8ff09f2361950ebd6dc5f6d64491d9,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-11-09,山西省自然资源厅,,GK2018-28号,示范区晋中开发区东寇路东侧、九号路南侧,30596.46平方米（45.8947亩）,,,工业用地,50年,介于0.7与2.0之间,介于30％与60％之间,不大于20％,尺寸控制在-10米—40米之间,1776万元,1776万元,20万元,2018年11月29日8时至2018年12月10日10时,2018年11月29日8时,2018年12月12日10时,2018年12月10日10时,晋中开发区土地事务中心（开发区办公楼北603室）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201811/t20181109_79263.shtml,e4332160aa900b7888f9fd4621a887b7,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-11-09,山西省自然资源厅,,GK2018-29号,示范区晋中开发区广安街北侧、兴源路西侧,200033.40平方米（300.0501亩）,,,工业用地,50年,介于0.7与2.0之间,介于30％与60％之间,介于10%与20％之间,尺寸控制在-10米—60米之间,10936万元,10936万元,50万元,2018年11月29日8时至2018年12月10日10时,2018年11月29日8时,2018年12月12日10时,2018年12月10日10时,晋中开发区土地事务中心（开发区办公楼北603室）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201811/t20181109_79263.shtml,e4332160aa900b7888f9fd4621a887b7,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-11-09,山西省自然资源厅,,GK2018-31号,示范区晋中开发区修文镇内白村,22516.68平方米（33.7750亩）,,,工业用地,50年,介于1.0与2.0之间,介于30％与60％之间,介于15%与20％之间,尺寸控制在-6米—40米之间,876万元,876万元,,2018年11月29日8时至2018年12月10日10时,2018年11月29日8时,2018年12月12日10时,2018年12月10日10时,晋中开发区土地事务中心（开发区办公楼北603室）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201811/t20181109_79263.shtml,e4332160aa900b7888f9fd4621a887b7,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-11-29,山西省自然资源厅,,GK2018-30号,示范区晋中开发区汇通路东侧使张村段,1836.85平方米（2.7553亩）,,,商业用地,,介于0.8与3.0之间,和绿地率待汇通路使张村段整体拆迁改造规划审定后确定,待汇通路使张村段整体拆迁改造规划审定后确定,尺寸控制在-11米—40米之间,610万元,610万元,20万元,2018年12月19日8时至2018年12月26日10时,2018年12月19日8时,2018年12月28日10时,2018年12月26日10时,晋中开发区土地事务中心（开发区办公楼北607室） ,,0354-3368707 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201811/t20181129_79265.shtml,7530ecf92c711ff388ea2a766a81b14e,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-11-29,山西省自然资源厅,,GK2018-32号,晋中开发区纬十二街以北、综合通道以西,1041.63平方米（合1.5624亩）,,,科研用地,,介于2.0与2.4之间,不大于35％,不小于35％,尺寸控制在-11米—40米之间,70万元,70万元,10万元,2018年12月19日8时至2018年12月26日10时,2018年12月19日8时,2018年12月28日10时,2018年12月26日10时,晋中开发区土地事务中心（开发区办公楼北607室） ,,0354-3368707 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201811/t20181129_79265.shtml,7530ecf92c711ff388ea2a766a81b14e,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2018]12号),2018-04-25,山西省自然资源厅,,HGZ-1812 ,万柏林区东社村，东至窊流路、西至东社旧村、南至石膏街、北至北车集团 ,19543.46平方米 ,,,居住兼容商业 ,住宅70年 ,4.5 ,30 ,35 ,,13400万元 ,13400万元 ,,,2018年05月16日 08时00分 ,2018年05月30日 ,2018年05月28日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201804/t20180425_79244.shtml,40f030f0fa2c92038422b6e3621b10c4,
出让公告,示范区出让公告,2018-05-04,山西省自然资源厅,,Ⅶ区Ⅶ-10单元10-12地块,东至田庄集体土地，南至田庄集体土地，西至经八路，北至纬六街,10698平方米（计16.0470亩）,,,商务型科研用地B29,50,≤3.0,,≥25%,限高+60米,820,820,9,2018年5月11日至2018年6月3日,,,,山西转型综合改革示范区政务服务中心二层土地管理局窗口,郭志豪 ,0351-7560082 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201805/t20180504_79243.shtml,72499a472d6006a81cbf40cceb75aaa3,
出让公告,示范区出让公告,2018-05-04,山西省自然资源厅,,XD-11片区02街区031-1地块（通达街南侧地块）,东至大运路，南至坤泽公司，西至坤泽公司，北至通达街,6802平方米（计10.2030亩）,,,居住兼容商业,居住70年商业40年,≥5.5≤5.81,,≥30%≤35%,限高+100米,4940,4940,11,2018年5月11日至2018年6月3日,,,,山西转型综合改革示范区政务服务中心二层土地管理局窗口,郭志豪 ,0351-7560082 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201805/t20180504_79243.shtml,72499a472d6006a81cbf40cceb75aaa3,
