文件标题,时间,来源,文件编号,宗地编号,编号,地块位置,土地位置,土地面积(亩),土地面积(平方米),土地用途,成交价(万元),竞得人,公示期,联系单位,单位地址,邮政编码,联系电话,爬取地址url,唯一标识,
晋中市国土资源局开发区土地分局国有土地使用权招拍挂出让成交公示,2018-07-31,山西省自然资源厅,,GK2018-11,,南同蒲铁路以西,,77.6488,,工业用地,,流拍,2018年7月31日 至 2018年8月6日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201807/t20180731_79446.shtml,45e89f2ba4c1c3df7c8ed0c1bf0ec654,
晋中市国土资源局开发区土地分局国有土地使用权招拍挂出让成交公示,2018-07-31,山西省自然资源厅,,GK2018-12,,徐工安瑞达以东、规划路以北,,11.1572,,工业用地,575,山西康诚惠民贸易有限公司,2018年7月31日 至 2018年8月6日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201807/t20180731_79446.shtml,45e89f2ba4c1c3df7c8ed0c1bf0ec654,
晋中市国土资源局开发区土地分局国有土地使用权招拍挂出让成交公示,2018-07-31,山西省自然资源厅,,GK2018-13,,规划路以北,,16.5041,,工业用地,850,山西尊创网络科技有限公司,2018年7月31日 至 2018年8月6日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201807/t20180731_79446.shtml,45e89f2ba4c1c3df7c8ed0c1bf0ec654,
晋中市国土资源局开发区土地分局国有土地使用权招拍挂出让成交公示,2018-07-31,山西省自然资源厅,,GK2018-14,,南同蒲铁路以西、规划路以北,,9.9986,,工业用地,515,晋中迈可弘服饰有限公司,2018年7月31日 至 2018年8月6日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201807/t20180731_79446.shtml,45e89f2ba4c1c3df7c8ed0c1bf0ec654,
晋中市国土资源局开发区土地分局国有土地使用权招拍挂出让成交公示,2018-07-31,山西省自然资源厅,,GK2018-15,,广安街南侧、王河路东侧,,92.6359,,商住,,流拍,2018年7月31日 至 2018年8月6日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201807/t20180731_79446.shtml,45e89f2ba4c1c3df7c8ed0c1bf0ec654,
晋中市国土资源局开发区土地分局国有土地使用权招拍挂出让成交公示,2018-07-31,山西省自然资源厅,,GK2018-16,,广安街南侧、魏榆路西侧,,80.9943,,商住,,流拍,2018年7月31日 至 2018年8月6日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201807/t20180731_79446.shtml,45e89f2ba4c1c3df7c8ed0c1bf0ec654,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2017-01-10,山西省自然资源厅,,GK2016-6,,恒易通工贸有限公司西侧及南侧,,4.7416,,工业,180,,2017年1月10日 至 2017年1月19日,,晋中市迎宾西街开发区管委会办公大楼 ,030600 ,0354-3368707 ,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201701/t20170110_79416.shtml,d02c4011145c011bda311ad5e53f6575,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2017-01-10,山西省自然资源厅,,GK2016-31,,广安西街南侧、魏榆路东侧,,50.0818,,医院,2510,,2017年1月10日 至 2017年1月19日,,晋中市迎宾西街开发区管委会办公大楼 ,030600 ,0354-3368707 ,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201701/t20170110_79416.shtml,d02c4011145c011bda311ad5e53f6575,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2017-01-10,山西省自然资源厅,,GK2016-32,,龙湖大街北侧、魏榆路东侧,,126.3689,,商服,20220,,2017年1月10日 至 2017年1月19日,,晋中市迎宾西街开发区管委会办公大楼 ,030600 ,0354-3368707 ,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201701/t20170110_79416.shtml,d02c4011145c011bda311ad5e53f6575,
太原市局关于SG-1711地块出让的结果公示,2017-05-10,山西省自然资源厅,,,,万柏林区东社村，西至规划绿地、北至南至太原国投房地产开发有限公司用地、东至规划路；,万柏林区东社村，西至规划绿地、北至南至太原国投房地产开发有限公司用地、东至规划路；,,15.89,居住兼容商业,,太原国投房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201705/t20170510_79432.shtml,a7e13e0dc3f2967670928f524bd55f0b,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2017-06-16,山西省自然资源厅,,GK2017-6,,108国道东侧、龙湖街南长途客运站南侧,,204.4271,,工业,7680,,2017年6月16日 至 2017年6月25日,山西省国土资源厅晋中经济技术开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201706/t20170616_79433.shtml,9db2fb89010dcb0fcd8a71fde8e31daf,
