文件标题,时间,来源,正文标题,地块编号,宗地编号,拍卖结果,公开转让方式,挂牌时间,转让人,转让方,受让人,受让方,受让单位,位置,地块位置,出让面积(平方米),用途,成交价(万元),不动产权登记证号,出让合同编号,出让合同,变更协议编号,土地用途,使用年限,面积,土地面积(公顷),转让价格(单价总价),出让年限,土地使用条件,备注,公示期,联系单位,单位地址,邮政编码,联系电话,联系人,电子邮件,爬取地址url,唯一标识,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2016-08-09,山西省自然资源厅,,,GK2015-24,,,,,,,,山西古城乳业集团有限公司,,蕴华西街以南、机械园一号路西侧,,,3180,,,,,工业,,,84.3565,,50年,,,2016年8月9日 至 2016年8月18日,,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201608/t20160809_79547.shtml,39821102b987fdf9102f82bd6d7fb750,
太原市国土局二0一五年公开转让HGZ-1514国有划拨土地使用权结果公示（第9期）,2015-07-24,山西省自然资源厅,,HGZ-1514,,,挂牌,2015-06-25至2015-07-10,,,太原市国投房地产开发有限公司,,,万柏林区兴华西街以南、上庄街以北、面粉三厂以西、排洪沟以东,,84198.44,住宅兼容商业,48020,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201507/t20150724_79517.shtml,5c0d25c8155c608b621c2d613a852c00,
太原市国土局公开转让HGZ-1605国有划拨土地使用权结果公示,2016-04-20,山西省自然资源厅,,HGZ-1605,,,挂牌,2016-04-05至2016-04-19,,,山西九昌房地产开发有限公司,,,位于晋源区西寨路以东、滨河西路以西、西寨城改用地以南、西寨南街以北,,75832.29,住宅兼容商业,56640,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201604/t20160420_79535.shtml,3c6065260ef5d4b4d5f948ccd8141874,
太原市国土局二0一六年公开转让HGZ-1604国有划拨土地使用权结果公示,2016-04-20,山西省自然资源厅,,HGZ-1604,,,挂牌,2016-04-01至2016-04-18,,,山西瑞枫源房地产开发有限公司,,,杏花岭区耙儿沟村以东、以西、以南，府东街东延以北,,51983.97,居住兼容商业,39560,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201604/t20160420_79536.shtml,96243ac8656a786b00c3a388f3233b83,
太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2016]10号),2016-04-22,山西省自然资源厅,,,HGZ-1609,,,,山西盛世龙源商贸有限公司,,,,,万柏林区南社村龙腾南小区以西、南社城中村改造规划地块9以北,,,,,,,,,居住兼容商业,,8379.9平方米,,,住宅70年,,宗地按照现状公开转让。宗地面积8379.9平方米，其中：住宅分摊7039.12平方米，商业分摊1340.78平方米。出让用途及年限：居住兼容商业，兼容比例16%，住宅70年、商业40年。,,,,,0351-3586600,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201604/t20160422_79537.shtml,017d09d98a9de284fc17b792857cf8ac,
太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2016]13号),2016-04-29,山西省自然资源厅,,,SG-1613,,,2016年5月20日08时00分,,,,,,位于晋源区西寨村，四至：东至省汾河一坝分局用地；南至西至南阜村改37地块用地；北至北阜村改用地,,,,,,,,,住宅,,45556.73平方米,,,住宅70年,,使用面积：45556.73平方米，其中：住宅用地42456.73平方米、托幼3100平方米。土地用途：住宅、托幼，住宅70年，托幼40年。容积率：住宅3.79，托幼1.0.建筑密度：住宅20%，托幼30%。保障性住房比例5%。本地块按照现状公开出让。,,,,,0351-3586600,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201604/t20160429_79540.shtml,3096b16931bd7b9c732f259b6c7cbe36,
太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2016]11号),2016-05-07,山西省自然资源厅,,,HGZ-1610,,,,山西盛世龙源商贸有限公司,,,,,万柏林区西山煤运铁路专线以北,,,,,,,,,居住兼容商业,,19198平方米,,,住宅70年,,宗地按照现状公开转让。宗地面积19198平方米，其中：住宅分摊17662.16平方米，商业分摊1535.84平方米。出让用途及年限：居住兼容商业，兼容比例8%，住宅70年、商业40年。,,,,,0351-3586600,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201605/t20160507_79538.shtml,9733ba02c030b01a31223929129d4896,
太原市公开转让HGZ-1602国有划拨土地使用权结果公示,2016-05-17,山西省自然资源厅,,HGZ-1602,,,挂牌,2016-04-19至2016-05-06,,,太原国投房地产开发有限公司,,,位于晋源区义井城改用地以东、西中环以西、义井西街以南、义井城改用地以北,,5000.91,商业,7200,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201605/t20160517_79532.shtml,dcf6fc265eb5be1476302ffe635950ef,
太原市二0一六年公开转让HGZ-1606、1607国有划拨土地使用权结果公示,2016-05-17,山西省自然资源厅,,HGZ-1606,,,挂牌,2016-04-27至2016-05-12,,,山西海智房地产开发有限公司,,,万柏林区滨河体育中心以西、漪汾街以北、文兴路以东,,34007.42,居住兼容商业,28340,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201605/t20160517_79533.shtml,fc3dfcd8aa5698c48954be7485409187,
太原市二0一六年公开转让HGZ-1606、1607国有划拨土地使用权结果公示,2016-05-17,山西省自然资源厅,,HGZ-1607,,,挂牌,2016-04-27至2016-05-12,,,山西海智房地产开发有限公司,,,万柏林区滨河体育中心以西、漪汾街以北、文兴路以东,,9982.22,商业,13340,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201605/t20160517_79533.shtml,fc3dfcd8aa5698c48954be7485409187,
太原市国土局二0一六年公开转让HGZ-1611、HGZ-1612、HGZ-1613国有划拨土地使用权结果公示,2016-07-06,山西省自然资源厅,,HGZ-1611,,,挂牌,2016-06-16至2016-06-30,,,山西中融银丰置业有限公司,,,万柏林区千峰南路以西、新庄北街以南、新庄北路以东,,57455.97,居住兼容商业,48620,,,,,,,,,,,,,,,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/jggs/201607/t20160706_79545.shtml,232e58f2f07a3a5985d6a4ff2d1efb28,
