标题,来源,时间,序号,批准文号,用地单位,供地方式,批准时间,位置,用途,面积,容积率,供应方案文号,爬取地址url,唯一标识,
2015年1-6月市本级划拨结果,本站,2015-06-16 10:25:41 ,,,河南一通房地产开发有限公司,划拨,2015-01-04,环翠路北、碧云路东,经济适用住房用地 ,7.046286,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715231.jhtml,ff9379b505d35b50d3278ec61811ed4b,
2015年1-6月市本级划拨结果,本站,2015-06-16 10:25:41 ,,,郑州大学第二附属医院,划拨,2015-03-09,南阳路东、海滩北街北,医卫慈善用地 ,0.725313,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715231.jhtml,ff9379b505d35b50d3278ec61811ed4b,
2015年1-6月市本级划拨结果,本站,2015-06-16 10:25:41 ,,,河南金牛置业有限公司,划拨,2015-01-27,京广南路东、环翠路北,经济适用住房用地 ,4.619233,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715231.jhtml,ff9379b505d35b50d3278ec61811ed4b,
2015年1-6月市本级划拨结果,本站,2015-06-16 10:25:41 ,,,郑州市污水净化有限公司,划拨,2015-05-15,郑峪路南、日照路东,公共设施用地 ,4.4202,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715231.jhtml,ff9379b505d35b50d3278ec61811ed4b,
2015年1-6月市本级划拨结果,本站,2015-06-16 10:25:41 ,,,郑州市惠济区教育体育局,划拨,2015-05-21,东风渠滨河路东、天元路北,科教用地 ,1.425894,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715231.jhtml,ff9379b505d35b50d3278ec61811ed4b,
2015年1-6月市本级划拨结果,本站,2015-06-16 10:25:41 ,,,郑州市第七中学,划拨,2015-05-19,新柳路北、团结路东,科教用地 ,16.966715,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715231.jhtml,ff9379b505d35b50d3278ec61811ed4b,
2015年1-6月市本级划拨结果,本站,2015-06-16 10:25:41 ,,,河南一通房地产开发有限公司,划拨,2015-01-04,环翠路北、碧云路东,经济适用住房用地 ,7.046286,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715231.jhtml,ff9379b505d35b50d3278ec61811ed4b,
2015年1-6月市本级划拨结果,本站,2015-06-16 10:25:41 ,,,郑州大学第二附属医院,划拨,2015-03-09,南阳路东、海滩北街北,医卫慈善用地 ,0.725313,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715231.jhtml,ff9379b505d35b50d3278ec61811ed4b,
2015年1-6月市本级划拨结果,本站,2015-06-16 10:25:41 ,,,河南金牛置业有限公司,划拨,2015-01-27,京广南路东、环翠路北,经济适用住房用地 ,4.619233,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715231.jhtml,ff9379b505d35b50d3278ec61811ed4b,
2015年1-6月市本级划拨结果,本站,2015-06-16 10:25:41 ,,,郑州市污水净化有限公司,划拨,2015-05-15,郑峪路南、日照路东,公共设施用地 ,4.4202,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715231.jhtml,ff9379b505d35b50d3278ec61811ed4b,
2015年1-6月市本级划拨结果,本站,2015-06-16 10:25:41 ,,,郑州市惠济区教育体育局,划拨,2015-05-21,东风渠滨河路东、天元路北,科教用地 ,1.425894,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715231.jhtml,ff9379b505d35b50d3278ec61811ed4b,
2015年1-6月市本级划拨结果,本站,2015-06-16 10:25:41 ,,,郑州市第七中学,划拨,2015-05-19,新柳路北、团结路东,科教用地 ,16.966715,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715231.jhtml,ff9379b505d35b50d3278ec61811ed4b,
2014年9-12月市本级划拨结果,本站,2015-01-05 10:26:45 ,,,河南魏都置业有限公司,划拨,2014-12-24,郑密公路东、杏贾路北,经济适用住房用地 ,0.727041,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715234.jhtml,602cff73cdc1f554892a5d3772a7b26b,
2014年9-12月市本级划拨结果,本站,2015-01-05 10:26:45 ,,,河南金牛置业有限公司,划拨,2014-12-24,京广南路东、南屏路南,经济适用住房用地 ,2.285747,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715234.jhtml,602cff73cdc1f554892a5d3772a7b26b,
2014年9-12月市本级划拨结果,本站,2015-01-05 10:26:45 ,,,郑州市第十八中学,划拨,2014-11-28,碧云路西、郑航北路北,科教用地 ,4.915106,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715234.jhtml,602cff73cdc1f554892a5d3772a7b26b,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,1,,河南亿豪置业有限公司,划拨,,天河路东、石苏路南,经济适用住房用地,2.825807,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,2,,郑州铁路局房地产综合开发总公司,协议出让,,陇海东路南、布厂街西,其他普通商品住房用地,0.345594,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,3,,国网河南省电力公司郑州供电公司,划拨,,科源路南、文博西路东,公共设施用地,0.467966,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,4,,郑州市第十九中学,划拨,,陇海西路南、兴华南街东,科教用地,4.835366,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,5,,郑州美嘉美置业有限公司,协议出让,,建设路南、伏牛路西,批发零售用地,0.290862,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,6,,郑州市金水区教育体育局,划拨,,燕凤路东、商城路北,科教用地,0.781231,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,7,,河南魏都置业有限公司,划拨,,天泰路西、杏贾路北,经济适用住房用地,2.857189,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,8,,郑州市建筑材料有限公司,协议出让,,南阳路西、孟砦北街北,其他普通商品住房用地,0.016759,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,9,,郑州市建筑材料有限公司,协议出让,,南阳路东、生产路北,其他普通商品住房用地,0.019441,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,10,,郑州市建筑材料有限公司,协议出让,,孟砦北街南、南阳路西,其他普通商品住房用地,0.002671,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,11,,郑州煤电长城房产开发投资有限公司,协议出让,,中原西路南、西流湖东,其他普通商品住房用地,0.778954,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,12,,郑州市中医院,划拨,,汝河路南、文化宫路东,医卫慈善用地,0.453356,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,13,,郑州市惠济区迎宾路街道弓庄村村民委员会,协议出让,,乐飞街东、中州大道西,其他普通商品住房用地,2.297594,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,14,,郑州市公共交通总公司,划拨,,星火路南、金岱路西,街巷用地,1.298644,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,15,,郑州市豫兴帆布制品有限公司,协议出让,,五里堡北路南、帆布厂街东,其他普通商品住房用地,0.425545,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,16,,郑州元龙房地产开发有限公司,协议出让,,汝河路北、工人路东,其他普通商品住房用地,0.021177,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,17,,郑州鸿兴置业有限公司,协议出让,,棉纺北路南、桐柏路东,其他普通商品住房用地,0.930103,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,18,,郑州鸿兴置业有限公司,协议出让,,棉纺西路北、桐柏路东,其他普通商品住房用地,2.172705,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,19,,郑州鸿兴置业有限公司,协议出让,,棉纺西路北、工人路西,商务金融用地,1.041753,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,20,,郑州澳德橡胶工业有限公司,协议出让,,海桐街北、水仙路东,工业用地,1.874311,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,21,,郑州澳德橡胶工业有限公司,协议出让,,药厂街南、水仙路东,工业用地,3.024746,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,22,,郑州枫杨外国语学校,划拨,,月季路南、规划一路西,科教用地,9.506046,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,23,,河南省盛祥置业有限公司,协议出让,,京广南路东、新甫南街南,其他商服用地,0.467332,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,24,,郑州交通运输集团有限责任公司,协议出让,,紫荆山路东、陇海东路南,工业用地,2.159323,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,25,,郑州交通运输集团有限责任公司,协议出让,,紫荆山路东、陇海东路南,工业用地,1.723576,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,26,,郑州市第二建筑工程有限责任公司,协议出让,,桐柏路西、伊河路南,其他普通商品住房用地,0.18913,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,27,,郑州交通运输集团有限责任公司,协议出让,,铭功路西、金水河南,商务金融用地,0.121894,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,28,,格力电器（郑州）有限公司,划拨,,金菊西街北、须水河东路东,公共租赁住房用地,9.588475,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,29,,郑州市第二建筑工程有限责任公司,协议出让,,黄河北街东、红旗路北,商务金融用地,0.142451,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,30,,郑州市第二建筑工程有限责任公司,协议出让,,劳动路北、卫生路西,工业用地,0.262163,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,31,,郑州宇通集团有限公司,协议出让,,药厂街北、腊梅路东,工业用地,5.348907,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,32,,郑州高新城建设发展有限公司,协议出让,,枫香路东、莲花街北,科教用地,5.03649,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,33,,郑州高新城建设发展有限公司,协议出让,,红松路西、莲花街北,科教用地,3.781614,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
2013年8月-12月郑州市协议出让及划拨结果,本站,2015-01-13 10:27:56 ,34,,郑州航天电子技术有限公司,协议出让,,合欢西街北、西四环西,工业用地,1.548564,,,2020-05-12,http://zzland.zhengzhou.gov.cn/hbgd/1715241.jhtml,1f64d23aef57c79157a1167c69e7479d,
