标题,来源,时间,编号,土地位置,使用权面积,规划用地性质,出让年限,爬取地址url,唯一标识,
郑州市国土资源局国有土地使用权协议出让公告（朱屯路北、化肥东路西）,本站原创,2015/7/14 18:00,"											ZY-24号				","											朱屯路北、化肥东路西				","											37352.39				","											医疗卫生用地				","											50				",2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1715486.jhtml,d1edb7539835bb880321f95c4b39acda
郑州市国土资源局国有土地使用权协议出让公告（朱屯路北、化肥东路西）,本站原创,2015/7/14 18:00,"											ZY-24号				","											朱屯路北、化肥东路西				","											37352.39				","											医疗卫生用地				","											50				",2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1715486.jhtml,d1edb7539835bb880321f95c4b39acda
协议出让公告（20150428浣纱路西）,本站原创,2015/4/28 12:14,"											ZC(2014)154号				","											浣纱路南、纪信路西				","											43358.33				","											文化设施用地				","											50				",2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1715479.jhtml,e8bc39683b8bc7ba03671ced7bf97679
郑州市国土资源局国有土地使用权协议出让公告（雪兰路东、梧桐街北）,本站原创,2015/7/14 18:03,"											GX-24号				","											雪兰路东、梧桐街北				","											74437.78				","											通信用地				","											50				",2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1715493.jhtml,d8216b5f556da51202f7760fcb773e4a
郑州市国土资源局国有土地使用权协议出让公告（枫香街北、西四环辅道西）,本站原创,2016/3/31 15:52,"				郑华程测字（2015）第359号","				枫香街北、西四环辅道西","				2769.58","				公共设施用地","				50",2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1715497.jhtml,d5d01ab004c742885b361eb6718474aa
郑州市国土资源局国有土地使用权协议出让公告（木马东街西、天元路北）,本站原创,2016/7/14 8:51,"				ZC(2014)121号","				木马东街西、天元路北","				2739.85","				其他公用设施用地","				50",2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1715500.jhtml,01650c32b538390e6d73e3679dd72d81
郑州市国土资源局国有土地使用权协议出让公告(冉屯路北、化肥东路东),本站原创,2017/9/26 8:45,"				C(2016)274号","				冉屯路北、化肥东路东","				6259.95","				体育用地（A4）","				50",2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1723144.jhtml,c2a7974f16d116c045b7e65ba07cc863
郑州市国土资源局国有地下空间使用权协议出让公告(二七路、太康路),本站,2018/6/8 11:21,EQ-01号,二七路、太康路,83310.04,人行联络通道、商业服务、配建非机动车停车,人行联络通道、配建非机动车停车50年；商业服务40年,2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1729457.jhtml,1dd1039a60703358666460d9413e190c
郑州市国土资源局国有土地使用权协议出让公告(求知路南、渠南路西),本站,2018/9/26 17:28,C(2018)070号,求知路南、渠南路西,39577.85,科研用地（A35）,50,2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1734831.jhtml,4d6f2f61b3bc6a9f9831346367940804
郑州市自然资源和规划局国有土地使用权协议出让公告(开元路南、木马东街西),本站,2019/4/16 15:34,HJ-03号,开元路南、木马东街西,2739.87,供水用地（U1）、建筑高度小于24.00米，容积率小于0.80，建筑密度小于25%，绿地率大于25%,50年,2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1772935.jhtml,a0511522872285915e88498e95a79cf0
郑州市自然资源和规划局国有土地使用权协议出让公告(学府路北、书苑路东),本站,2019/6/7 9:36,C(2019)007号,学府路北、书苑路东,8529,文化设施用地,50年,2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1786871.jhtml,203de7c91f9cebc20d09793bb3da125a
郑州市自然资源和规划局国有土地使用权协议出让公告(豫一路南、明政路西),本站,2020/4/3 9:21,C(2019)049号,豫一路南、明政路西,36728.9,环卫用地（U22）建筑高度小于15米容积率小于0.5建筑密度小于20%绿地率大于15%,50年,2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1916161.jhtml,c39f6cc0387c12bf25cf642b221fc241
郑州市国土资源局国有土地使用权协议出让公告（雪兰路东、梧桐街北）,本站原创,2015/7/14 18:03,"											GX-24号				","											雪兰路东、梧桐街北				","											74437.78				","											通信用地				","											50				",2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1715493.jhtml,d8216b5f556da51202f7760fcb773e4a
郑州市国土资源局国有土地使用权协议出让公告（枫香街北、西四环辅道西）,本站原创,2016/3/31 15:52,"				郑华程测字（2015）第359号","				枫香街北、西四环辅道西","				2769.58","				公共设施用地","				50",2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1715497.jhtml,d5d01ab004c742885b361eb6718474aa
郑州市国土资源局国有土地使用权协议出让公告（木马东街西、天元路北）,本站原创,2016/7/14 8:51,"				ZC(2014)121号","				木马东街西、天元路北","				2739.85","				其他公用设施用地","				50",2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1715500.jhtml,01650c32b538390e6d73e3679dd72d81
郑州市国土资源局国有土地使用权协议出让公告(冉屯路北、化肥东路东),本站原创,2017/9/26 8:45,"				C(2016)274号","				冉屯路北、化肥东路东","				6259.95","				体育用地（A4）","				50",2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1723144.jhtml,c2a7974f16d116c045b7e65ba07cc863
郑州市国土资源局国有地下空间使用权协议出让公告(二七路、太康路),本站,2018/6/8 11:21,EQ-01号,二七路、太康路,83310.04,人行联络通道、商业服务、配建非机动车停车,人行联络通道、配建非机动车停车50年；商业服务40年,2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1729457.jhtml,1dd1039a60703358666460d9413e190c
郑州市国土资源局国有土地使用权协议出让公告(求知路南、渠南路西),本站,2018/9/26 17:28,C(2018)070号,求知路南、渠南路西,39577.85,科研用地（A35）,50,2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1734831.jhtml,4d6f2f61b3bc6a9f9831346367940804
郑州市自然资源和规划局国有土地使用权协议出让公告(开元路南、木马东街西),本站,2019/4/16 15:34,HJ-03号,开元路南、木马东街西,2739.87,供水用地（U1）、建筑高度小于24.00米，容积率小于0.80，建筑密度小于25%，绿地率大于25%,50年,2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1772935.jhtml,a0511522872285915e88498e95a79cf0
郑州市自然资源和规划局国有土地使用权协议出让公告(学府路北、书苑路东),本站,2019/6/7 9:36,C(2019)007号,学府路北、书苑路东,8529,文化设施用地,50年,2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1786871.jhtml,203de7c91f9cebc20d09793bb3da125a
郑州市自然资源和规划局国有土地使用权协议出让公告(豫一路南、明政路西),本站,2020/4/3 9:21,C(2019)049号,豫一路南、明政路西,36728.9,环卫用地（U22）建筑高度小于15米容积率小于0.5建筑密度小于20%绿地率大于15%,50年,2020/5/11,http://zzland.zhengzhou.gov.cn/xycrgg/1916161.jhtml,c39f6cc0387c12bf25cf642b221fc241
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
