标题,来源,时间,挂牌时间,土地编号,土地坐落,使用权面积,竞得人,成交价,爬取地址url,唯一标识,
郑州市自然资源和规划局挂牌出让结果公示〔2019年5月14日至2019年5月30日〕,本站,2019-06-05 16:30:47 ,2019年5月14日至2019年5月30日,〔2019〕36号（网）土地,兴隆铺路南、粮食西路西,42538.29平方米,郑州天地新城实业有限公司,44523万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1790579.jhtml,ecf94d990158a813d83e035e51a231f0,
郑州市国土资源局挂牌出让结果公示〔2018年9月7日至2018年9月21日〕,本站,2018-09-26 14:29:08 ,2018年9月7日至2018年9月21日,〔2018〕109号（网）土地,辅道南路南、站前大道西,33930.88平方米,郑州融亮春房地产开发有限公司,27376万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1739290.jhtml,e8792f5c18c80842d01e1e337d324fa4,
郑州市国土资源局挂牌出让结果公示〔2018年12月24日至2019年1月16日〕,本站,2019-01-18 09:33:51 ,2018年12月24日至2019年1月16日,〔2018〕165号（网）土地,经南十五路以北、经开第十五大街以东,28240.79平方米,河南鸿宝集团有限公司、河南鸿宝置地有限公司,142298万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1745908.jhtml,b34c3895db21c2370e71a67bb124c5a3,
郑州市国土资源局挂牌出让结果公示〔2019年1月2日至2019年1月16日〕,本站,2019-01-22 09:34:27 ,2019年1月2日至2019年1月16日,〔2018〕178号（网）土地,二里岗南街北、未来路西,28492.52平方米,河南融创晟元置业有限公司,10352万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1745915.jhtml,a44c67e370a2dcdfb88be8dfeab0bab6,
郑州市国土资源局挂牌出让结果公示〔2019年1月8日至2019年1月31日〕,本站,2019-02-01 09:34:58 ,2019年1月8日至2019年1月31日,〔2018〕183号（网）土地,三全路南、园田北路东,64596.08平方米,河南瀚宇天悦城置业有限公司,100775万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1745922.jhtml,1111ae22fc1a8c29bea4c9328e27b36a,
郑州市国土资源局挂牌出让结果公示〔2019年1月31日至2019年2月22日〕,本站,2019-02-27 09:26:44 ,,〔2019〕3号（网）土地,科学大道北、金柏路西,109305.29平方米,郑州郑锅电气科技有限公司,64871万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1745873.jhtml,667c0aeb3c81cb5821a26962f1e5f12d,
郑州市国土资源局挂牌出让结果公示〔2019年2月11日至2019年2月26日〕,本站,2019-03-05 08:44:12 ,,〔2019〕4号（网）土地,中原西路北辅道北、中州路西,35576.11平方米,郑州华侨城文化旅游开发有限公司,57125万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1748218.jhtml,c2889316d5d93ec64d82f529bd22b466,
郑州市国土资源局挂牌出让结果公示〔2019年2月18日至2019年3月11日〕,本站,2019-03-18 08:45:11 ,,〔2019〕10号（网）土地,林荫南路东、同欣路南,34626.81平方米,郑州高屋置业有限公司,31623万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1748222.jhtml,5dc7eec40c108bb490936415155008b4,
郑州市国土资源局挂牌出让结果公示〔2019年3月5日至2019年3月29日〕,本站,2019-03-30 14:40:05 ,2019年3月5日至2019年3月29日,〔2019〕15号（网）土地,郑港辅路西、鸿宝路北,48749.36平方米,郑州市二七新区建设投资开发有限公司,106652万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1771801.jhtml,fa1ef5e1e09a5d5181baebfaa6c10eb9,
郑州市国土资源局挂牌出让结果公示〔2019年3月21日至2019年4月11日〕,本站,2019-04-13 14:40:46 ,2019年3月21日至2019年4月11日,〔2019〕22号（网）土地,颍河西路南、石羊路东,29662.29平方米,郑州中贯新城置业有限公司,32133万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1771808.jhtml,d9a8cea430673ac90fd7d5e293384da2,
郑州市国土资源局挂牌出让结果公示〔2019年3月29日至2019年4月17日〕,本站,2019-04-24 16:29:29 ,2019年3月29日至2019年4月17日,〔2019〕29号（网）土地,郑少高速辅道南、景西一路东,88590.39平方米,河南省天伦乐居置业有限公司,83716万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1790565.jhtml,362b274a02c823c1b679771f5f82f73c,
郑州市国土资源局挂牌出让结果公示〔2019年4月9日至2019年4月23日〕,本站,2019-04-30 16:30:12 ,2019年4月9日至2019年4月23日,〔2019〕34号（网）土地,刘湾北路南、兴业路东,30711.58平方米,河南绿地商城置业有限公司,48457万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1790575.jhtml,65f1295a3b902dee0821b5997dcbc67e,
