文件标题,信息时间,正文标题,公告编号,出让时间,公告类型,地块编号,地块位置,土地用途,土地面积(公顷),出让年限,成交价(万元),受让单位,土地现状,土地使用条件,备注,公示期,联系方式,单位地址,邮政编码,联系电话,联系人,联系单位,电子邮件,爬取地址url,唯一标识,
龙岩市永定区自然资源局国有建设用地使用权挂牌出让成交公示,2019/6/4,龙岩市永定区自然资源局国有建设用地使用权挂牌出让成交公示,,,出让结果,2019-挂-06,洪山乡田梓村、樟罗村,工矿仓储用地—工业用地（非金属矿物制品业）,12.7709,50年,1472,永定红（福建）石材产业发展有限公司,净地,,,满后，无异议或虽有异议但经审查没有发现存在违反法律法规行为的，我局将与该公司签订出让合同，相关事宜在合同中约定,,福建省龙岩市永定区凤城街道南通路70号,364100,0597-3011915,土地利用股工作人员,龙岩市永定区自然资源局,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=6d067b0b-c696-4d92-b877-e97a40fee324&CategoryNum=084001,b365e305f51654025cb2de726f4c9c40
漳平市自然资源局国有土地使用权出让成交公示,2019/10/22,漳平市自然资源局国有土地使用权出让成交公示,漳成交告字[2019]15号 ,,出让结果,2019拍-5号,华龙两地块中间菁城街道八一路以南滨江路以北,普通商品房,0.5579,70年,9610,漳平市华龙房地产开发有限公司,净地,,,2019年10月22日至2019年10月26日 ,,漳平市江滨路626号漳平市自然资源局,364400,0597-7538821,张女士、李女士,漳平市自然资源局自然资源开发利用与国土空间用途管理股,zp7523678@163.com,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=13a6aee5-b3c4-495b-9a5f-fc7d4a2183f0&CategoryNum=084001,b68f33cfab93ad23c8d977413b8871b5
长汀县自然资源局国有建设用地使用权拍卖出让成交结果公告,2019/11/5,长汀县自然资源局国有建设用地使用权拍卖出让成交结果公告,根据长汀县自然资源局国有建设用地使用权拍卖出让公告（汀自然告字[2019]8号 ），下列竞买人报价、竞价符合拍买人要求，报价竞价结果有效，现予公告：,,出让结果,,大同镇罗坊村,商服用地、住宅用地,43500,40、70,42700,杨江勇,,,,,,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=c1ec9c61-16af-4dbb-bee9-177989d5f9c3&CategoryNum=084001,79fb705536b4c0bcc453c21c6793a044
长汀县自然资源局国有建设用地使用权拍卖出让成交结果公告,2019/11/5,长汀县自然资源局国有建设用地使用权拍卖出让成交结果公告,根据长汀县自然资源局国有建设用地使用权拍卖出让公告（汀自然告字[2019]14、15号 ），下列竞买人报价、竞价符合拍买人要求，报价竞价结果有效，现予公告：,,出让结果,,大同镇印黄村,商服用地—旅馆用地（四星级酒店）,11090,40,4730,俞开琛,,,,,,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=307426c7-544c-4dbf-a4c2-334451f819f5&CategoryNum=084001,af25d00963df87be7b8eaad486ad6b66
长汀县自然资源局国有建设用地使用权拍卖出让成交结果公告,2019/11/5,长汀县自然资源局国有建设用地使用权拍卖出让成交结果公告,根据长汀县自然资源局国有建设用地使用权拍卖出让公告（汀自然告字[2019]14、15号 ），下列竞买人报价、竞价符合拍买人要求，报价竞价结果有效，现予公告：,,出让结果,,大同镇南里村,商服用地-批发市场用地（烟花爆竹批发、仓储）,608,40,70,彭小雪,,,,,,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=307426c7-544c-4dbf-a4c2-334451f819f5&CategoryNum=084001,af25d00963df87be7b8eaad486ad6b66
长汀县自然资源局国有建设用地使用权拍卖出让成交结果公告,2019/11/5,长汀县自然资源局国有建设用地使用权拍卖出让成交结果公告,根据长汀县自然资源局国有建设用地使用权拍卖出让公告（汀自然告字[2019]9号 ），下列竞买人报价、竞价符合拍买人要求，报价竞价结果有效，现予公告：,,出让结果,,大同镇红卫村,商服用地—批发市场用地,14044,40,8090,温州宏茗置业有限公司,,,,,,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=3c28d23d-096e-4abd-848a-c948a82477b2&CategoryNum=084001,f9a5047d67a4b2e16c1707f280bb3d9b
连城县自然资源局国有土地使用权招拍挂出让成交公示,2019/11/15,连城县自然资源局国有土地使用权招拍挂出让成交公示,,,出让结果,P2018-17,连城县冠豸山旅游经济开发区,旅馆用地,0.6666,40年,760,连城广大福酒店管理有限公司,净地,具备基本动工开发条件,,2019年11月15日 至 2019年11月21日 ,,连城县东环北路28号,366200,0597-3320230,揭业镔,自然资源开发利用股,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=d722fb5b-233e-49ff-b697-f96b95c90c5b&CategoryNum=084001,6087a28a4e0f9c13bf81a67e07df0d11
龙岩市新罗区芦内矿区建筑用凝灰岩矿（机制砂用）采矿权拍卖出让公示,2019/11/29,龙岩市新罗区芦内矿区建筑用凝灰岩矿（机制砂用）采矿权拍卖出让公示,,,出让结果,,新罗区适中镇,,,10年,肆仟零贰拾万元整（￥:4020万元整）,龙岩市伟鸿矿业有限公司,,,,内对出让矿权有异议的，请以书面材料形式送：龙岩市国土资源交易评审中心或新罗区自然资源局（以公示期内收到时间为准）,,,,0597-2236936,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=5e62359c-d379-41cf-b9f8-4277cdaffaa4&CategoryNum=084001,6e769c1307807d2571bf87aec6af0cfd
龙岩市新罗区珍坑矿区建筑用花岗岩矿（机制砂用）采矿权拍卖出让公示,2019/11/29,龙岩市新罗区珍坑矿区建筑用花岗岩矿（机制砂用）采矿权拍卖出让公示,,,出让结果,,新罗区白沙镇,,,10年,陆佰玖拾伍万肆仟贰佰元整（￥:695.42万元整）,龙岩市藿溪键龙工贸有限公司,,,,内对出让矿权有异议的，请以书面材料形式送：龙岩市国土资源交易评审中心或新罗区自然资源局（以公示期内收到时间为准）,,,,0597-2236936,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=81c182b0-9fda-4eac-91fb-87d10eee9749&CategoryNum=084001,a06321048972ba702ce523afac9f6d43
福建省武平县文溪矿区建筑用花岗岩矿（机制砂用）采矿权拍卖出让公示,2019/11/29,福建省武平县文溪矿区建筑用花岗岩矿（机制砂用）采矿权拍卖出让公示,,,出让结果,,武平县城厢镇,,,20年,壹亿伍仟叁佰伍拾万元整（￥:15350万元整）,武平华润矿业有限公司,,,,内对出让矿权有异议的，请以书面材料形式送：龙岩市国土资源交易评审中心或武平县自然资源局（以公示期内收到时间为准）,,,,0597-2236936,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=98d49471-72d6-4f9d-b58e-77d6dcc025a5&CategoryNum=084001,5a460f5a654990d671e524cc57c69f6b
