administration,parcelLocation,totalArea,landPurpose,signTime,projectName,projectLocation,area,landSource,supplyType,landUsegeTerm,classification,landLevel,transferPrice,issue,paymentDate,paymentAmount,remark,landHolder,plotRatioUP,plotRatioLOWER,agreedDeliveryTime,agreedStartTime,agreedCompletionTime,actualStartTime,actualCompletionTime,approvedUnit,contractTime,crawlingTime,url,md5Mark,
四会市,四会市行政中心内（人力资源和社会保障局背后三角地）,0.75647,军事设施用地,2017-09-21,四会市地下停车场,四会市行政中心内（人力资源和社会保障局背后三角地）,0.75647,现有建设用地,划拨,,房地产业,房地产业土地级别：十级,0,,,,,四会市国有资产经营总公司,,,2017-09-21,2018-09-21,2019-09-21,2017-12-27,,四会市人民政府,2017-09-21,2020-04-15 11:24:06,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921035564&__boxModel__=true&op=page_content&sessionID=53571&pn=1,bf0e37f3221f75ee4310f10e7be74779,
新会区,崖门镇崖南渔港（土名）,0.0416,住宿餐饮用地,2015-07-21,酒店,崖门镇崖南渔港（土名）,0.0416,现有建设用地,挂牌出让,40,其他服务业,其他服务业土地级别：六级,93.6,1|,2015-08-20,93.6|, ,江门市新会区崖门国际游艇会有限公司,1.5,6.5,2015-08-20,2020-12-27,2021-12-27,,,江门市人民政府,2015-07-21,2020-04-15 11:24:06,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921036254&__boxModel__=true&op=page_content&sessionID=46789&pn=1,0f4ba0d7a8b5e3f3462f73e898671795,
化州市,化州市长岐镇东安村委会省道285线边,0.323835,其他普通商品住房用地,2014-11-24,化州市中拓房地产开发有限公司住宅用地项目,化州市长岐镇东安村委会省道285线边,0.323835,新增建设用地,挂牌出让,70,房地产业,房地产业土地级别：四级,258,1|,2014-12-24,258|, ,化州市中拓房地产开发有限公司,1,4.5,2018-12-24,2019-12-24,2022-12-24,,,化州市人民政府,2014-11-24,2020-04-15 11:24:07,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921036879&__boxModel__=true&op=page_content&sessionID=53436&pn=1,7295def37db3d0c002f3afb359f0f462,
罗湖区,罗湖区莲塘街道,1.999983,其他普通商品住房用地,2018-07-27,东海莲塘汇（富宝化纤厂）城市更新单元1-01号,罗湖区莲塘街道,1.999983,现有建设用地,协议出让,70,房地产业,房地产业土地级别：一级,149910.7175,1|2|,2018-07-27|2019-07-12,74955.3588|74955.3587|,  ,东海俊兆实业（深圳）有限公司,1,7.9,2018-07-12,2019-07-12,2022-07-12,,,深圳市罗湖区人民政府,2018-07-27,2020-04-15 11:24:07,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921034898&__boxModel__=true&op=page_content&sessionID=44440&pn=1,c1aaf05755518d51a1d75e3fe89ccd49,
化州市,化州市长岐镇东安村委会省道285线边,1.256502,其他普通商品住房用地,2014-11-24,化州市天悦房地产开发有限公司住宅用地项目,化州市长岐镇东安村委会省道285线边,1.256502,新增建设用地,挂牌出让,70,房地产业,房地产业土地级别：四级,517,1|,2014-12-24,517|, ,化州市天悦房地产开发有限公司,1,3.5,2019-12-24,2019-12-24,2022-12-24,,,化州市人民政府,2014-11-24,2020-04-15 11:24:07,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921037680&__boxModel__=true&op=page_content&sessionID=3172&pn=1,ab16e0b7d48cfaecc0dce47e81b5a13a,
龙岗区,龙城街道,0.146448,公路用地,2018-01-31,东都路,龙城街道,0.146448,现有建设用地,划拨,,国家机构,国家机构土地级别：五级,0,,,,,龙岗区龙城街道办事处,,,2018-01-31,2019-01-31,2020-01-31,2018-12-10,2019-11-13,深圳市人民政府,2018-01-31,2020-04-15 11:24:08,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921038250&__boxModel__=true&op=page_content&sessionID=36758&pn=1,258d9170981b4c1c5c50c511db91769e,
龙岗区,南湾街道,0.362986,公路用地,2018-01-31,南湾街道泰兴花园城市更新项目周边市政配套道路金平路（一期）,南湾街道,0.362986,现有建设用地,划拨,,国家机构,国家机构土地级别：五级,0,,,,,龙岗区南湾街道办事处,,,2018-01-31,2019-01-31,2020-01-31,2018-12-10,2019-11-13,深圳市人民政府,2018-01-31,2020-04-15 11:24:08,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921038785&__boxModel__=true&op=page_content&sessionID=33836&pn=1,90b5543b9bd8d5e8dd96943d77372dc5,
肇庆市本级,肇庆高新区滨江路东面、兴隆三街以北地段,1.521899,机关团体用地,2016-08-05,肇庆高新区检察室办公、办案用地项目,肇庆高新区滨江路东面、兴隆三街以北地段,1.521899,新增建设用地,划拨,,国家机构,国家机构土地级别：十级,,,,,,肇庆市人民检察院高新区检察室,,2.5,2016-08-05,2017-08-05,2018-08-05,2018-08-13,,肇庆高新区管委会人民政府,2016-08-05,2020-04-15 11:24:09,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921039660&__boxModel__=true&op=page_content&sessionID=13038&pn=1,0078992a7f47b37fc1b7afc33d0c6a9e,
韶关市本级,韶关市浈江区莞韶产业园浈江片区ZJ0101-08C号地块,7.398,工业用地,2019-01-05,韶关市ZJ0101-08C号地块,韶关市浈江区莞韶产业园浈江片区ZJ0101-08C号地块,7.398,新增建设用地,挂牌出让,50,其它,其它土地级别：四级,1495,1|2|,2018-12-27|2019-12-13,800|695|,  ,国粤（广东）投资集团有限公司,0.5,2,2019-12-18,2020-12-17,2022-10-16,,,韶关市人民政府,2019-01-05,2020-04-15 11:24:09,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921040248&__boxModel__=true&op=page_content&sessionID=59901&pn=1,b5087605145fda2ab4cabfd8a1e4ff85,
连南瑶族自治县,连南县三江镇五星村第九组白话仔,0.36331,科教用地,2016-01-02,连南县蓝天幼儿园建设项目,连南县三江镇五星村第九组白话仔,0.36331,新增建设用地,划拨,,教育业,教育业土地级别：八级,41.8847,,,,,连南瑶族自治县蓝天幼儿园,,1.8,2016-01-28,2016-06-28,2019-06-28,2016-01-03,2019-06-11,连南瑶族自治县人民政府,2016-01-02,2020-04-15 11:24:10,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921040629&__boxModel__=true&op=page_content&sessionID=18888&pn=1,dfa75a11d154c12ae0177eb16c999b02,
